Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A)
0.25,109.25,-0.010294,0.5,0
1.016,109.25,-0.010296,0.5,0
1.719,109.25,-0.010295,0.5,0
2.438,109.26,-0.010296,0.5,0
3.157,109.26,-0.010296,0.5,0
3.86,109.26,-0.010296,0.5,0
4.579,109.26,-0.010296,0.5,0
5.25,109.26,-0.010297,0.5,0
5.922,109.26,-0.010297,0.5,0
6.594,109.26,-0.010297,0.5,0
7.282,109.26,-0.010297,0.5,0
7.985,109.26,-0.010296,0.5,0
8.704,109.26,-0.010297,0.5,0
9.407,109.26,-0.010297,0.5,0
10.125,109.26,-0.010297,0.5,0
10.844,109.26,-0.010294,0.5,0
11.547,109.26,-0.010297,0.5,0
12.266,109.26,-0.010298,0.5,0
12.938,109.26,-0.010297,0.5,0
13.61,109.26,-0.010297,0.5,0
14.297,109.26,-0.010297,0.5,0
15,109.26,-0.010298,0.5,0
15.672,109.26,-0.010298,0.5,0
16.36,109.26,-0.010298,0.5,0
17.063,109.26,-0.010297,0.5,0
17.782,109.26,-0.010297,0.5,0
18.5,109.27,-0.010298,0.5,0
19.204,109.26,-0.010298,0.5,0
19.875,109.27,-0.010298,0.5,0
20.594,109.27,-0.010298,0.5,0
21.297,109.26,-0.0103,0.5,0
22.016,109.26,-0.010298,0.5,0
22.735,109.26,-0.010299,0.5,0
23.438,109.26,-0.010298,0.5,0
24.157,109.26,-0.010297,0.5,0
24.875,109.27,-0.010298,0.5,0
25.579,109.27,-0.010298,0.5,0
26.25,109.27,-0.010299,0.5,0
26.938,109.27,-0.010298,0.5,0
27.641,109.27,-0.010298,0.5,0
28.36,109.27,-0.010298,0.5,0
29.079,109.27,-0.010298,0.5,0
29.75,109.27,-0.010299,0.5,0
30.422,109.27,-0.010298,0.5,0
31.141,109.27,-0.010298,0.5,0
31.844,109.27,-0.010298,0.5,0
32.563,109.27,-0.010298,0.5,0
33.282,109.27,-0.010298,0.5,0
33.985,109.27,-0.010299,0.5,0
34.704,109.27,-0.010297,0.5,0
35.407,109.27,-0.010297,0.5,0
36.125,109.27,-0.010297,0.5,0
36.844,109.27,-0.010298,0.5,0
37.547,109.27,-0.010298,0.5,0
38.266,109.27,-0.010298,0.5,0
38.985,109.27,-0.010297,0.5,0
