Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A),HeatingCurr(A),SampCurr_order(A)0.453,1.0241e-06,-0.0035906,0,0.128,0
0.703,4.2455e-08,-0.0035974,0,0.128,0
0.953,9.1525e-07,-0.0035973,0,0.128,0
1.234,1.492e-06,0.21107,0,0.128,0.21429
1.516,-2.1052e-07,-0.0035629,0,0.128,0
1.797,1.3257e-05,0.42566,0,0.128,0.42857
2.078,1.2435e-07,-0.0035247,0,0.128,0
2.359,3.4766e-05,0.64016,0,0.128,0.64286
2.641,4.0363e-07,-0.0035145,0,0.128,0
2.922,7.3319e-05,0.8545,0,0.128,0.85714
3.203,3.588e-07,-0.0034963,0,0.128,0
3.484,0.00012893,1.0689,0,0.128,1.0714
3.766,1.1189e-06,-0.0034769,0,0.128,0
4.047,0.00019497,1.2833,0,0.128,1.2857
4.344,3.8644e-08,-0.0034675,0,0.128,0
4.625,0.00028892,1.4976,0,0.128,1.5
4.922,4.9232e-07,-0.0034529,0,0.128,0
5.203,0.00040062,1.7118,0,0.128,1.7143
5.484,5.688e-07,-0.0034342,0,0.128,0
5.766,0.00052685,1.9262,0,0.128,1.9286
6.047,1.2757e-06,-0.0034419,0,0.128,0
6.328,0.0006723,2.1406,0,0.128,2.1429
6.609,6.8008e-07,-0.003423,0,0.128,0
6.891,0.00083796,2.3549,0,0.128,2.3571
7.172,7.2393e-07,-0.0034143,0,0.128,0
7.453,0.0010216,2.5692,0,0.128,2.5714
7.734,1.2121e-06,-0.0034041,0,0.128,0
8.016,0.0012278,2.7836,0,0.128,2.7857
8.297,4.6764e-07,-0.0033598,0,0.128,0
8.578,0.0014301,2.9981,0,0.128,3
9.484,35.71,2.7196e-07,-0.00358,0.03,0.128,0
9.734,35.71,1.3623e-06,-0.0035867,0.03,0.128,0
9.984,35.71,9.2366e-07,-0.0036055,0.03,0.128,0
10.266,35.71,3.5683e-06,0.21093,0.03,0.128,0.21429
10.547,35.71,1.5342e-06,-0.003592,0.03,0.128,0
10.828,35.71,2.1022e-05,0.42554,0.03,0.128,0.42857
11.109,35.71,2.1994e-06,-0.0035598,0.03,0.128,0
11.391,35.71,5.4758e-05,0.64011,0.03,0.128,0.64286
11.672,35.71,1.6275e-06,-0.0035266,0.03,0.128,0
11.953,35.71,0.00010349,0.85445,0.03,0.128,0.85714
12.234,35.71,1.8075e-06,-0.0035321,0.03,0.128,0
12.516,35.71,0.00016464,1.0688,0.03,0.128,1.0714
12.797,35.71,1.5193e-06,-0.0035017,0.03,0.128,0
13.078,35.71,0.00024408,1.2832,0.03,0.128,1.2857
13.375,35.71,1.5467e-06,-0.0035046,0.03,0.128,0
13.656,35.71,0.00034001,1.4975,0.03,0.128,1.5
13.953,35.71,1.384e-06,-0.0034931,0.03,0.128,0
14.234,35.71,0.00045832,1.7117,0.03,0.128,1.7143
14.516,35.71,8.1991e-07,-0.0034795,0.03,0.128,0
14.797,35.71,0.00058784,1.926,0.03,0.128,1.9286
15.078,35.71,1.1923e-06,-0.0034362,0.03,0.128,0
15.359,35.71,0.0007419,2.1405,0.03,0.128,2.1429
15.641,35.71,2.002e-06,-0.0034359,0.03,0.128,0
15.922,35.71,0.0009104,2.3548,0.03,0.128,2.3571
16.203,35.71,9.3701e-07,-0.0034211,0.03,0.128,0
16.484,35.71,0.0010958,2.5691,0.03,0.128,2.5714
16.766,35.71,1.7108e-06,-0.0034066,0.03,0.128,0
17.047,35.71,0.0013057,2.7836,0.03,0.128,2.7857
17.328,35.71,2.2817e-06,-0.0033932,0.03,0.128,0
17.609,35.71,0.0015042,2.9979,0.03,0.128,3
18.516,35.72,1.7021e-06,-0.0036079,0.06,0.128,0
18.766,35.72,1.4027e-06,-0.0036087,0.06,0.128,0
19.016,35.72,1.0294e-06,-0.0036025,0.06,0.128,0
19.297,35.72,1.1768e-05,0.21095,0.06,0.128,0.21429
19.578,35.72,1.4526e-06,-0.0035998,0.06,0.128,0
19.859,35.72,4.7798e-05,0.42554,0.06,0.128,0.42857
20.141,35.72,1.6649e-06,-0.0035624,0.06,0.128,0
20.422,35.72,0.00010952,0.64006,0.06,0.128,0.64286
20.703,35.72,2.2808e-06,-0.0035609,0.06,0.128,0
20.984,35.72,0.00018442,0.85441,0.06,0.128,0.85714
21.266,35.72,1.9365e-06,-0.0035141,0.06,0.128,0
21.547,35.72,0.0002771,1.0688,0.06,0.128,1.0714
21.828,35.72,1.7439e-06,-0.0035082,0.06,0.128,0
22.109,35.72,0.00039314,1.2831,0.06,0.128,1.2857
22.391,35.72,2.7049e-06,-0.0034777,0.06,0.128,0
22.672,35.72,0.0005205,1.4975,0.06,0.128,1.5
22.953,35.72,2.2177e-06,-0.0034847,0.06,0.128,0
23.234,35.72,0.00066315,1.7116,0.06,0.128,1.7143
23.516,35.72,1.6437e-06,-0.003458,0.06,0.128,0
23.797,35.72,0.00082258,1.926,0.06,0.128,1.9286
24.078,35.72,9.7813e-07,-0.0034668,0.06,0.128,0
24.359,35.72,0.0010006,2.1404,0.06,0.128,2.1429
24.641,35.72,1.213e-06,-0.0034513,0.06,0.128,0
24.922,35.72,0.0011922,2.3547,0.06,0.128,2.3571
25.203,35.72,1.9295e-06,-0.0034408,0.06,0.128,0
25.5,35.72,0.001399,2.5691,0.06,0.128,2.5714
25.781,35.72,1.8323e-06,-0.0033841,0.06,0.128,0
26.063,35.72,0.0016241,2.7835,0.06,0.128,2.7857
26.359,35.72,1.4719e-06,-0.003414,0.06,0.128,0
26.641,35.72,0.0018543,2.9978,0.06,0.128,3
27.547,35.72,2.3552e-06,-0.0036064,0.1,0.128,0
27.797,35.72,2.182e-06,-0.0036282,0.1,0.128,0
28.047,35.72,1.7321e-06,-0.0036262,0.1,0.128,0
28.328,35.72,2.6815e-05,0.21091,0.1,0.128,0.21429
28.609,35.72,1.819e-06,-0.0036115,0.1,0.128,0
28.891,35.72,9.0837e-05,0.42549,0.1,0.128,0.42857
29.172,35.72,2.5865e-06,-0.0035641,0.1,0.128,0
29.453,35.72,0.00018544,0.64005,0.1,0.128,0.64286
29.734,35.72,1.9785e-06,-0.0035624,0.1,0.128,0
30.016,35.72,0.00030051,0.85437,0.1,0.128,0.85714
30.297,35.72,1.8046e-06,-0.0035296,0.1,0.128,0
30.578,35.72,0.00043138,1.0687,0.1,0.128,1.0714
30.859,35.72,1.2776e-06,-0.0035348,0.1,0.128,0
31.141,35.72,0.00058008,1.2831,0.1,0.128,1.2857
31.422,35.72,1.9447e-06,-0.0035091,0.1,0.128,0
31.703,35.72,0.00075099,1.4973,0.1,0.128,1.5
31.984,35.72,2.749e-06,-0.0034939,0.1,0.128,0
32.266,35.72,0.00092969,1.7116,0.1,0.128,1.7143
32.547,35.72,2.4042e-06,-0.003496,0.1,0.128,0
32.828,35.72,0.001129,1.9259,0.1,0.128,1.9286
33.109,35.72,1.8054e-06,-0.0034642,0.1,0.128,0
33.391,35.72,0.0013458,2.1404,0.1,0.128,2.1429
33.672,35.72,1.838e-06,-0.0034318,0.1,0.128,0
33.953,35.72,0.0015832,2.3547,0.1,0.128,2.3571
34.25,35.72,1.6495e-06,-0.0034834,0.1,0.128,0
34.547,35.72,0.0018234,2.569,0.1,0.128,2.5714
34.828,35.72,2.4507e-06,-0.0034343,0.1,0.128,0
35.109,35.72,0.0020878,2.7833,0.1,0.128,2.7857
35.391,35.72,1.8422e-06,-0.0033806,0.1,0.128,0
35.672,35.72,0.0023309,2.9977,0.1,0.128,3
36.563,35.73,2.0918e-06,-0.0036277,0.2,0.128,0
36.828,35.73,1.6211e-06,-0.0036243,0.2,0.128,0
37.078,35.73,1.1449e-06,-0.0036301,0.2,0.128,0
37.359,35.73,7.2935e-05,0.2109,0.2,0.128,0.21429
37.641,35.73,1.6263e-06,-0.0036109,0.2,0.128,0
37.922,35.73,0.00020369,0.42546,0.2,0.128,0.42857
38.203,35.73,2.0182e-06,-0.0035992,0.2,0.128,0
38.484,35.73,0.00037189,0.64,0.2,0.128,0.64286
