
Bin,Number,Channel Y0,Channel Y1,Channel Y2
---,---,Time,Resistance,Voltage
0,1,0.1014999999997599,26.27,2.251e-06
4,1,0.663499999999658,26.26,2.21e-06
7,1,1.148000000000138,26.26,2.137e-06
11,1,1.686999999999898,26.25,2.512e-06
15,1,2.225999999999658,26.24,2.825e-06
18,1,2.773000000000138,26.24,2.741e-06
22,1,3.304499999999734,26.24,3.106e-06
26,1,3.850999999999658,26.23,3.314e-06
30,1,4.398000000000138,26.23,3.836e-06
33,1,4.929499999999734,26.22,4.211e-06
37,1,5.467999999999847,26.21,3.492e-06
41,1,6.007500000000164,26.21,2.971e-06
44,1,6.554499999999734,26.19,2.199e-06
48,1,7.093499999999494,26.185,2.991e-06
52,1,7.625,26.18,2.856e-06
55,1,8.171999999999571,26.175,2.637e-06
59,1,8.710499999999683,26.17,1.918e-06
63,1,9.241999999999734,26.165,2.126e-06
66,1,9.796499999999924,26.16,2.814e-06
70,1,10.34349999999949,26.155,2.95e-06
74,1,10.88250000000016,26.145,3.106e-06
78,1,11.42949999999973,26.14,2.71e-06
81,1,11.96799999999985,26.13,2.981e-06
85,1,12.52349999999979,26.12,3.148e-06
89,1,13.06999999999971,26.12,3.971e-06
92,1,13.61699999999973,26.11,3.669e-06
96,1,14.15599999999995,26.11,3.763e-06
100,1,14.69499999999971,26.1,3.638e-06
104,1,15.27566666666644,26.58,2.991e-06
108,1,15.85099999999966,26.08,2.116e-06
111,1,16.39000000000033,26.08,1.543e-06
115,1,16.92949999999973,26.08,1.56e-07
119,1,17.47599999999966,26.07,-1.418e-06
122,1,18.00750000000016,26.065,-2.92e-07
126,1,18.54699999999957,26.06,-1.88e-07
130,1,19.09299999999985,26.04,4.17e-07
134,1,19.63250000000016,26.035,4.79e-07
137,1,20.17149999999992,26.03,4.59e-07
141,1,20.71049999999968,26.02,7.4e-07
145,1,21.25,26.015,8.13e-07
148,1,21.80449999999973,26.01,1.25e-07
152,1,22.33549999999968,26.01,-9.900000000000001e-07
156,1,22.88250000000016,25.99,-1.616e-06
159,1,23.42949999999973,25.99,-1.605e-06
163,1,23.96049999999968,25.985,-8.96e-07
167,1,24.51500000000033,25.98,-5.52e-07
171,1,25.05449999999973,25.965,-2.81e-07
174,1,25.58549999999968,25.96,-7.5e-07
178,1,26.13250000000016,25.955,5.52e-07
182,1,26.67949999999973,25.94,6.67e-07
185,1,27.22599999999966,25.94,9.280000000000001e-07
189,1,27.76500000000033,25.935,8.86e-07
193,1,28.30449999999973,25.93,1.167e-06
196,1,28.85099999999966,25.93,6.05e-07
200,1,29.39800000000014,25.93,8.65e-07
204,1,29.92949999999973,25.92,6.67e-07
208,1,30.48399999999947,25.92,8.44e-07
211,1,31.03099999999995,25.91,1.522e-06
215,1,31.58549999999968,25.9,2.022e-06
219,1,32.11699999999973,25.89,2.314e-06
222,1,32.66399999999976,25.88,2.283e-06
226,1,33.19499999999971,25.88,2.293e-06
230,1,33.7494999999999,25.87,2.23e-06
234,1,34.28899999999976,25.87,1.438e-06
237,1,34.82799999999952,25.86,1.605e-06
241,1,35.36699999999973,25.86,5.42e-07
245,1,35.91399999999976,25.85,6.77e-07
248,1,36.44499999999971,25.84,1.011e-06
252,1,37,25.835,5e-07
256,1,37.53099999999995,25.83,1.001e-06
259,1,38.06999999999971,25.825,9.48e-07
263,1,38.6244999999999,25.82,5.84e-07
267,1,39.17199999999957,25.815,1.115e-06
271,1,39.71049999999968,25.81,7.3e-07
274,1,40.2494999999999,25.795,1.074e-06
278,1,40.78899999999976,25.78,1.011e-06
282,1,41.33549999999968,25.775,7.92e-07
285,1,41.88250000000016,25.77,8.44e-07
289,1,42.42199999999957,25.765,8.23e-07
293,1,42.96049999999968,25.76,1.407e-06
296,1,43.4994999999999,25.755,1.418e-06
300,1,44.03899999999976,25.75,1.261e-06
304,1,44.61433333333298,25.74666666666667,1.449e-06
308,1,45.19499999999971,25.73,1.918e-06
312,1,45.73399999999992,25.73,1.345e-06
315,1,46.26500000000033,25.725,1.688e-06
319,1,46.81999999999971,25.71,1.282e-06
323,1,47.35899999999992,25.71,1.397e-06
326,1,47.89800000000014,25.7,1.365e-06
330,1,48.44499999999971,25.7,1.021e-06
334,1,48.98399999999947,25.69,1.042e-06
338,1,49.52300000000014,25.68,1.313e-06
341,1,50.05449999999973,25.67,1.24e-06
345,1,50.60099999999966,25.67,1.178e-06
349,1,51.14800000000014,25.665,1.094e-06
352,1,51.67949999999973,25.66,1.063e-06
356,1,52.21799999999985,25.655,9.799999999999999e-07
360,1,52.75750000000016,25.65,1.115e-06
363,1,53.30449999999973,25.65,1.574e-06
367,1,53.85099999999966,25.63,2.064e-06
371,1,54.39000000000033,25.625,1.834e-06
375,1,54.9369999999999,25.625,1.574e-06
378,1,55.46849999999949,25.62,1.23e-06
382,1,56.00750000000016,25.62,1.074e-06
386,1,56.55449999999973,25.615,5.52e-07
