
Bin,Number,Channel Y0,Channel Y1,Channel Y2
---,---,Time,Resistance,Voltage
1,1,0.1613333333334594,24.28,-1.678e-06
5,1,0.7650000000003274,24.28,-1.761e-06
8,1,1.265000000000327,24.28,-1.511e-06
12,1,1.804000000000087,24.28,-1.887e-06
14,1,2.195000000000164,24.28,-1.782e-06
18,1,2.695000000000164,24.28,-1.678e-06
22,1,3.234000000000378,24.28,-1.449e-06
25,1,3.773000000000138,24.28,-1.949e-06
29,1,4.320000000000164,24.28,-1.761e-06
33,1,4.867000000000189,24.28,-1.855e-06
36,1,5.405500000000302,24.28,-1.803e-06
40,1,5.945000000000164,24.28,-1.616e-06
44,1,6.484000000000378,24.28,-1.543e-06
47,1,7.023000000000138,24.28,-1.574e-06
51,1,7.554000000000087,24.28,-2.053e-06
55,1,8.101000000000568,24.28,-1.501e-06
59,1,8.648000000000138,24.28,-1.532e-06
62,1,9.179000000000087,24.28,-1.834e-06
66,1,9.718000000000757,24.28,-1.418e-06
70,1,10.25750000000016,24.28,-1.553e-06
73,1,10.80400000000009,24.28,-1.449e-06
77,1,11.35100000000057,24.28,-1.647e-06
81,1,11.89000000000033,24.28,-1.136e-06
84,1,12.42900000000009,24.28,-1.532e-06
88,1,12.97600000000057,24.28,-1.855e-06
92,1,13.51549999999997,24.29,-1.178e-06
95,1,14.05400000000009,24.285,-1.845e-06
99,1,14.59300000000076,24.285,-1.438e-06
103,1,15.13250000000016,24.285,-1.48e-06
106,1,15.67149999999992,24.29,-1.657e-06
110,1,16.21050000000059,24.29,-1.438e-06
114,1,16.75750000000016,24.29,-1.365e-06
118,1,17.29600000000028,24.29,-1.188e-06
121,1,17.84300000000076,24.29,-1.793e-06
125,1,18.38250000000016,24.29,-1.636e-06
129,1,18.92149999999992,24.29,-1.553e-06
132,1,19.46050000000059,24.29,-1.074e-06
136,1,20,24.29,-1.47e-06
140,1,20.54600000000028,24.29,-1.782e-06
143,1,21.07750000000033,24.29,-1.251e-06
147,1,21.62450000000035,24.29,-1.365e-06
151,1,22.17100000000028,24.29,-1.324e-06
155,1,22.71050000000059,24.29,-1.563e-06
158,1,23.25,24.29,-1.574e-06
162,1,23.78850000000011,24.29,-1.616e-06
166,1,24.33550000000059,24.29,-1.803e-06
169,1,24.88250000000016,24.29,-1.178e-06
173,1,25.42900000000009,24.29,-1.741e-06
177,1,25.9685000000004,24.29,-1.386e-06
181,1,26.51549999999997,24.29,-9.280000000000001e-07
184,1,27.05400000000009,24.29,-1.668e-06
188,1,27.60100000000057,24.29,-1.688e-06
192,1,28.13250000000016,24.29,-1.668e-06
195,1,28.67900000000009,24.29,-1.595e-06
199,1,29.2185000000004,24.29,-1.657e-06
203,1,29.77300000000014,24.29,-1.626e-06
206,1,30.3119999999999,24.29,-1.522e-06
210,1,30.85100000000057,24.29,-1.772e-06
214,1,31.39049999999997,24.295,-1.397e-06
217,1,31.92900000000009,24.29,-1.48e-06
221,1,32.4685000000004,24.295,-1.657e-06
225,1,33.02300000000014,24.29,-1.543e-06
229,1,33.55400000000009,24.295,-1.553e-06
232,1,34.10100000000057,24.295,-1.73e-06
236,1,34.6555000000003,24.3,-2.074e-06
240,1,35.1869999999999,24.3,-1.563e-06
243,1,35.73400000000038,24.3,-1.584e-06
247,1,36.27300000000014,24.3,-1.345e-06
251,1,36.81200000000035,24.3,-1.834e-06
254,1,37.35100000000057,24.3,-1.928e-06
258,1,37.89000000000033,24.3,-1.397e-06
262,1,38.4369999999999,24.3,-1.355e-06
266,1,38.9685000000004,24.3,-1.647e-06
269,1,39.50750000000016,24.3,-1.616e-06
273,1,40.05400000000009,24.3,-2.105e-06
277,1,40.59300000000076,24.3,-1.563e-06
280,1,41.13250000000016,24.3,-1.647e-06
284,1,41.72899999999996,24.3,-1.741e-06
288,1,42.21800000000076,24.3,-1.449e-06
291,1,42.74950000000035,24.3,-1.365e-06
295,1,43.30400000000009,24.3,-1.563e-06
299,1,43.84300000000076,24.3,-1.407e-06
302,1,44.38250000000016,24.3,-1.907e-06
306,1,44.92100000000028,24.3,-1.324e-06
310,1,45.46050000000059,24.3,-1.407e-06
314,1,46.01549999999997,24.3,-1.699e-06
317,1,46.54600000000028,24.3,-1.543e-06
321,1,47.09300000000076,24.3,-2.137e-06
325,1,47.64049999999997,24.3,-1.907e-06
328,1,48.17900000000009,24.3,-2.439e-06
332,1,48.72600000000057,24.3,-2.189e-06
336,1,49.26500000000033,24.3,-2.012e-06
339,1,49.80400000000009,24.305,-2.376e-06
343,1,50.33550000000059,24.31,-2.012e-06
347,1,50.88250000000016,24.31,-2.053e-06
351,1,51.42900000000009,24.31,-2.116e-06
354,1,51.96050000000059,24.31,-1.49e-06
358,1,52.5,24.31,-1.991e-06
362,1,53.03850000000011,24.31,-1.845e-06
365,1,53.57750000000033,24.31,-1.563e-06
369,1,54.11700000000019,24.31,-1.522e-06
373,1,54.65599999999995,24.31,-1.532e-06
376,1,55.21050000000059,24.315,-1.761e-06
380,1,55.74950000000035,24.32,-1.876e-06
384,1,56.29649999999992,24.32,-2.032e-06
387,1,56.83550000000059,24.32,-1.751e-06
391,1,57.36700000000019,24.32,-1.793e-06
395,1,57.92100000000028,24.32,-1.365e-06
399,1,58.46050000000059,24.32,-1.605e-06
402,1,59.00750000000016,24.32,-2.074e-06
406,1,59.53850000000011,24.32,-1.532e-06
410,1,60.07800000000043,24.32,-1.626e-06
413,1,60.625,24.32,-1.282e-06
417,1,61.1555000000003,24.32,-1.939e-06
421,1,61.70250000000033,24.32,-1.803e-06
424,1,62.24200000000019,24.32,-1.324e-06
428,1,62.78099999999995,24.325,-1.709e-06
432,1,63.32000000000016,24.325,-1.584e-06
435,1,63.85100000000057,24.325,-1.876e-06
439,1,64.39800000000014,24.325,-1.574e-06
443,1,64.94500000000016,24.33,-1.397e-06
447,1,65.48400000000038,24.325,-1.793e-06
450,1,66.02300000000014,24.33,-1.741e-06
454,1,66.55400000000009,24.33,-2.085e-06
458,1,67.10100000000057,24.33,-1.678e-06
461,1,67.64049999999997,24.33,-2.293e-06
465,1,68.17900000000009,24.33,-1.97e-06
469,1,68.71800000000076,24.33,-2.366e-06
472,1,69.27300000000014,24.33,-1.793e-06
476,1,69.81200000000035,24.33,-1.918e-06
480,1,70.36700000000019,24.33,-2.251e-06
483,1,70.89800000000014,24.33,-1.97e-06
487,1,71.44500000000016,24.33,-2.324e-06
491,1,71.98400000000038,24.33,-2.012e-06
495,1,72.5305000000003,24.33,-2.105e-06
498,1,73.07000000000016,24.33,-1.876e-06
502,1,73.625,24.33,-2.085e-06
506,1,74.16350000000011,24.33,-1.845e-06
510,1,74.71050000000059,24.33,-1.584e-06
513,1,75.25,24.33,-1.595e-06
517,1,75.79600000000028,24.33,-1.866e-06
521,1,76.32750000000033,24.33,-1.928e-06
524,1,76.86700000000019,24.33,-2.189e-06
528,1,77.41350000000011,24.33,-1.793e-06
532,1,77.95250000000033,24.33,-1.959e-06
