
Bin,Number,Channel Y0,Channel Y1,Channel Y2
---,---,Time,Resistance,Voltage
0,1,0.1409999999996217,41.8,-0.004761967
5,1,0.7579999999989013,41.795,-0.004759111
8,1,1.25,41.79,-0.004755859
12,1,1.781999999999243,41.79,-0.004753608
15,1,2.328999999999724,41.785,-0.004750137
19,1,2.906999999999243,41.78,-0.004747156
23,1,3.476999999998952,41.78,-0.004742914
27,1,4.015999999999622,41.77,-0.004739402
31,1,4.546999999998661,41.755,-0.004735295
34,1,5.093999999999141,41.75,-0.00473122
38,1,5.632999999999811,41.745,-0.004727593
42,1,6.179999999998472,41.74,-0.004722871
45,1,6.711499999999432,41.74,-0.004718671
49,1,7.25,41.72499999999999,-0.004713678
53,1,7.789499999998952,41.72,-0.004709374
56,1,8.343999999999141,41.71,-0.004704058
60,1,8.882999999999811,41.7,-0.004699284
64,1,9.421999999998661,41.7,-0.004694114
68,1,9.961499999999432,41.69,-0.004688413
71,1,10.5,41.68,-0.004683045
75,1,11.04699999999866,41.675,-0.004676896
79,1,11.58649999999943,41.665,-0.004671393
82,1,12.13299999999981,41.65,-0.004665076
86,1,12.66449999999895,41.64,-0.004659063
90,1,13.21149999999943,41.63,-0.004652475
93,1,13.75799999999981,41.625,-0.004646117
97,1,14.29699999999866,41.61499999999999,-0.004639593
101,1,14.82899999999972,41.6,-0.004632568
104,1,15.35466666666556,41.6,-0.0046267
108,1,15.92199999999866,41.59,-0.004618382
112,1,16.46149999999943,41.58,-0.004610555
116,1,17,41.575,-0.004602873
119,1,17.53949999999895,41.56,-0.004595827
123,1,18.08649999999943,41.545,-0.004587583
127,1,18.625,41.535,-0.004579046
130,1,19.16449999999895,41.52500000000001,-0.004570614
134,1,19.695999999999,41.52,-0.004562453
138,1,20.24249999999938,41.505,-0.004554115
141,1,20.78199999999924,41.495,-0.00454438
145,1,21.32899999999972,41.48,-0.004535416
149,1,21.86749999999938,41.47,-0.004526505
152,1,22.40699999999924,41.45,-0.004516833
156,1,22.93799999999828,41.44,-0.004506712
160,1,23.47699999999895,41.43,-0.004497102
164,1,24.02399999999943,41.42,-0.004487148
167,1,24.56299999999828,41.405,-0.004476392
171,1,25.11749999999938,41.39,-0.004465563
175,1,25.66449999999895,41.38,-0.004454598
178,1,26.20399999999972,41.37,-0.0044433
182,1,26.74249999999938,41.34,-0.004432283
186,1,27.28199999999924,41.33,-0.00442064
189,1,27.820999999999,41.32,-0.004409175
193,1,28.36749999999938,41.305,-0.004397272
197,1,28.90699999999924,41.29,-0.004384869
200,1,29.43799999999828,41.285,-0.00437257
204,1,29.97699999999895,41.27500000000001,-0.004359854
208,1,30.52399999999943,41.265,-0.004346669
212,1,31.070999999999,41.25,-0.004333818
215,1,31.60199999999895,41.23,-0.004320321
219,1,32.14099999999962,41.215,-0.00430675
223,1,32.68799999999919,41.205,-0.004292554
226,1,33.23499999999876,41.19,-0.004278129
230,1,33.78199999999924,41.18,-0.004263579
234,1,34.320999999999,41.17,-0.004248695
237,1,34.85999999999876,41.15,-0.004234301
241,1,35.39899999999943,41.13,-0.004218813
245,1,35.945999999999,41.12,-0.004203241
249,1,36.48499999999876,41.11,-0.004187461
252,1,37.02399999999943,41.095,-0.004171712
256,1,37.55499999999847,41.08,-0.004155431
260,1,38.10199999999895,41.065,-0.004138411
263,1,38.64899999999943,41.05,-0.004121253
267,1,39.18799999999828,41.035,-0.004104118
271,1,39.71899999999914,41.02,-0.004087108
274,1,40.26599999999962,41.01,-0.004068774
278,1,40.79699999999866,40.985,-0.004050586
282,1,41.34399999999914,40.98,-0.004032107
285,1,41.89099999999962,40.965,-0.004013554
289,1,42.42999999999847,40.955,-0.003994053
293,1,42.96899999999914,40.935,-0.00397451
297,1,43.51599999999962,40.925,-0.00395478
300,1,44.070999999999,40.905,-0.003934059
304,1,44.61749999999938,40.895,-0.003913088
308,1,45.16449999999895,40.875,-0.003891659
312,1,45.71149999999943,40.86499999999999,-0.003870428
315,1,46.25799999999981,40.85,-0.003848936
319,1,46.79699999999866,40.83,-0.003826714
323,1,47.32899999999972,40.815,-0.003804701
326,1,47.875,40.805,-0.003781708
330,1,48.42199999999866,40.785,-0.003758768
334,1,48.96949999999924,40.77500000000001,-0.003735504
338,1,49.58899999999934,40.76,-0.00371001
341,1,50.08649999999943,40.73999999999999,-0.003686121
345,1,50.625,40.72499999999999,-0.003661023
349,1,51.17199999999866,40.71,-0.003636362
353,1,51.71149999999943,40.695,-0.003610722
356,1,52.25,40.68,-0.003585478
360,1,52.78949999999895,40.675,-0.003560369
364,1,53.33649999999943,40.655,-0.003533791
367,1,53.88299999999981,40.63,-0.003506389
371,1,54.42199999999866,40.62,-0.003480478
375,1,54.96149999999943,40.605,-0.003453327
378,1,55.5,40.595,-0.003425904
382,1,56.04699999999866,40.575,-0.003397242
386,1,56.57899999999972,40.56,-0.003370007
389,1,57.125,40.54,-0.003341427
393,1,57.65699999999924,40.52,-0.003312608
397,1,58.21149999999943,40.51,-0.00328307
401,1,58.75,40.495,-0.003253344
404,1,59.29699999999866,40.47499999999999,-0.003223785
408,1,59.84399999999914,40.46,-0.003193423
412,1,60.38299999999981,40.445,-0.003163041
415,1,60.92199999999866,40.425,-0.003132627
419,1,61.46899999999914,40.41,-0.003100764
423,1,62.01599999999962,40.395,-0.003069319
427,1,62.55499999999847,40.38,-0.003038873
430,1,63.09399999999914,40.37,-0.003006917
434,1,63.63299999999981,40.355,-0.00297469
438,1,64.195999999999,40.34,-0.00294143
441,1,64.73499999999876,40.315,-0.002908515
445,1,65.27399999999943,40.305,-0.00287585
449,1,65.820999999999,40.29,-0.002843289
453,1,66.35999999999876,40.27500000000001,-0.002809384
456,1,66.91449999999895,40.26,-0.002775697
460,1,67.46149999999943,40.25,-0.002742094
464,1,68,40.22,-0.002707448
467,1,68.53949999999895,40.205,-0.002673856
471,1,69.08649999999943,40.195,-0.002639794
475,1,69.625,40.18,-0.00260544
478,1,70.16449999999895,40.17,-0.002571295
481,1,70.56299999999919,41.345,-0.002542997
485,1,71.05499999999847,40.14,-0.002514855
488,1,71.58649999999943,40.11499999999999,-0.002480919
492,1,72.14099999999962,40.105,-0.002446492
496,1,72.67999999999847,40.09,-0.002410992
499,1,73.22699999999895,40.07,-0.0023762
502,1,73.61799999999948,40.065,-0.00234662
505,1,74.10999999999876,40.05,-0.002318302
509,1,74.65649999999914,40.04,-0.00228375
513,1,75.20399999999972,40.015,-0.002247677
517,1,75.75,40.005,-0.002212447
520,1,76.28949999999895,39.985,-0.002177854
524,1,76.83649999999943,39.965,-0.002142719
528,1,77.375,39.955,-0.002107385
531,1,77.90699999999924,39.945,-0.002073053
535,1,78.45399999999972,39.915,-0.002037823
539,1,78.98499999999876,39.9,-0.002002905
542,1,79.53949999999895,39.89,-0.001967822
546,1,80.07899999999972,39.87,-0.001932384
550,1,80.625,39.855,-0.00189679
554,1,81.17199999999866,39.845,-0.001861676
557,1,81.71149999999943,39.815,-0.001826415
561,1,82.25,39.805,-0.001791697
565,1,82.78949999999895,39.79,-0.001757333
568,1,83.32899999999972,39.77500000000001,-0.00172203
572,1,83.875,39.765,-0.001686958
576,1,84.42199999999866,39.755,-0.001651124
580,1,84.96149999999943,39.72,-0.001617052
583,1,85.50799999999981,39.69,-0.001582365
587,1,86.03949999999895,39.675,-0.001547542
591,1,86.57899999999972,39.665,-0.001512876
594,1,87.11749999999938,39.645,-0.001478897
598,1,87.67199999999866,39.625,-0.001443366
