
Bin,Number,Channel Y0,Channel Y1,Channel Y2
---,---,Time,Resistance,Voltage
1,1,0.1823333333334934,44.08666666666667,5.607e-06
5,1,0.7890000000006694,44.1,5.597e-06
9,1,1.32799999999952,44.11499999999999,5.826e-06
12,1,1.875,44.13,5.555e-06
16,1,2.406000000000859,44.145,5.597e-06
20,1,2.960999999999331,44.155,5.514e-06
23,1,3.5,44.17,5.691e-06
27,1,4.039000000000669,44.185,5.639e-06
31,1,4.593999999999141,44.195,5.211e-06
35,1,5.132999999999811,44.205,5.712e-06
38,1,5.664000000000669,44.23,5.878e-06
42,1,6.210999999999331,44.24,6.285e-06
46,1,6.757999999999811,44.25,5.628e-06
49,1,7.305000000000291,44.265,5.628e-06
53,1,7.843999999999141,44.28,5.847e-06
57,1,8.390999999999622,44.29,5.316e-06
60,1,8.930000000000291,44.3,5.91e-06
64,1,9.468999999999141,44.32,5.91e-06
68,1,10.01599999999962,44.335,5.899e-06
72,1,10.55500000000029,44.345,5.43e-06
75,1,11.10199999999986,44.36,5.535e-06
79,1,11.64850000000024,44.36499999999999,5.493e-06
83,1,12.1880000000001,44.38,5.284e-06
86,1,12.72699999999986,44.395,5.972e-06
90,1,13.26599999999962,44.405,5.941e-06
94,1,13.80500000000029,44.42,5.743e-06
97,1,14.35199999999986,44.435,5.774e-06
101,1,14.88299999999981,44.445,5.597e-06
105,1,15.42200000000048,44.455,5.639e-06
108,1,15.96099999999933,44.47,6.264e-06
112,1,16.50799999999981,44.485,5.951e-06
116,1,17.05500000000029,44.5,5.733e-06
120,1,17.58599999999933,44.51,5.753e-06
123,1,18.125,44.53,5.795e-06
127,1,18.66400000000067,44.54,5.712e-06
131,1,19.20299999999952,44.55,5.566e-06
134,1,19.75,44.57,5.972e-06
138,1,20.28900000000067,44.585,5.889e-06
142,1,20.82799999999952,44.595,5.587e-06
145,1,21.375,44.6,5.722e-06
149,1,21.91400000000067,44.61,5.785e-06
153,1,22.46099999999933,44.65,6.097e-06
157,1,23,44.66,6.014e-06
160,1,23.53900000000067,44.67,6.181e-06
164,1,24.07799999999952,44.675,5.722e-06
168,1,24.61750000000029,44.69,5.889e-06
171,1,25.16400000000067,44.7,5.806e-06
175,1,25.70299999999952,44.71,6.233e-06
179,1,26.24250000000029,44.72499999999999,6.149e-06
182,1,26.77350000000024,44.745,6.035e-06
186,1,27.32049999999981,44.755,6.045e-06
190,1,27.86000000000058,44.77,6.16e-06
193,1,28.39850000000024,44.78,5.993e-06
197,1,28.9380000000001,44.795,6.191e-06
201,1,29.47699999999986,44.805,6.139e-06
204,1,30.02350000000024,44.815,6.566e-06
208,1,30.57049999999981,44.835,6.337e-06
212,1,31.11000000000058,44.85,6.212e-06
215,1,31.5,44.855,6.202e-06
218,1,31.98500000000058,44.86499999999999,6.16e-06
222,1,32.53100000000086,44.875,6.493e-06
225,1,33.07049999999981,44.895,6.181e-06
229,1,33.60949999999957,44.905,6.556e-06
233,1,34.14850000000024,44.915,6.546e-06
236,1,34.6880000000001,44.925,5.91e-06
240,1,35.22699999999986,44.945,5.931e-06
244,1,35.76599999999962,44.955,5.305e-06
247,1,36.30500000000029,44.97,5.701e-06
251,1,36.85949999999957,44.98,4.93e-06
255,1,37.39850000000024,44.98,4.982e-06
258,1,37.9380000000001,44.985,5.097e-06
262,1,38.48449999999957,44.99,4.524e-06
266,1,39.02350000000024,44.99,4.336e-06
270,1,39.57049999999981,44.99,4.2e-06
273,1,40.11750000000029,44.98,4.888e-06
277,1,40.64099999999962,44.98,3.982e-06
281,1,41.1880000000001,44.98,4.044e-06
284,1,41.72699999999986,44.97,4.284e-06
288,1,42.26550000000043,44.96,4.419e-06
292,1,42.80500000000029,44.96,4.94e-06
295,1,43.34399999999914,44.95,4.18e-06
299,1,43.89099999999962,44.945,4.148e-06
303,1,44.43000000000029,44.93,4.617e-06
306,1,44.96099999999933,44.92,4.492e-06
310,1,45.50799999999981,44.915,4.742e-06
314,1,46.05500000000029,44.91,4.221e-06
318,1,46.59399999999914,44.9,4.294e-06
321,1,47.14050000000043,44.895,4.107e-06
325,1,47.69549999999981,44.88500000000001,3.898e-06
329,1,48.22699999999986,44.875,4.117e-06
332,1,48.76599999999962,44.87,4.232e-06
