
Bin,Number,Channel Y0,Channel Y1,Channel Y2
---,---,Time,Resistance,Voltage
0,1,0.1095000000004802,29.415,-4.701e-06
4,1,0.6640000000006694,29.41,-5.013e-06
7,1,1.157000000001062,29.405,-5.503e-06
11,1,1.69550000000072,29.4,-5.201e-06
15,1,2.242500000000291,29.4,-5.159e-06
18,1,2.781500000000051,29.39,-4.753e-06
22,1,3.32050000000072,29.39,-4.961e-06
26,1,3.860000000000582,29.39,-4.961e-06
30,1,4.443333333333915,29.93666666666667,-4.951e-06
34,1,5.024000000000342,29.365,-4.638e-06
37,1,5.555000000000291,29.36,-4.867e-06
41,1,6.102000000000771,29.36,-4.836e-06
45,1,6.640999999999622,29.355,-4.847e-06
49,1,7.180000000000291,29.35,-4.701e-06
52,1,7.71900000000096,29.35,-4.815e-06
56,1,8.257999999999811,29.35,-4.857e-06
60,1,8.812500000000909,29.34,-4.92e-06
63,1,9.352000000000771,29.34,-4.888e-06
67,1,9.899000000000342,29.34,-4.534e-06
71,1,10.4380000000001,29.34,-4.628e-06
74,1,10.97700000000077,29.335,-4.732e-06
78,1,11.52400000000034,29.33,-4.669e-06
82,1,12.06250000000091,29.32,-4.544e-06
86,1,12.61000000000058,29.32,-4.638e-06
89,1,13.15700000000106,29.32,-4.544e-06
93,1,13.68750000000091,29.32,-4.722e-06
97,1,14.22700000000077,29.32,-4.742e-06
100,1,14.77400000000034,29.31,-5.003e-06
104,1,15.32050000000072,29.315,-4.211e-06
108,1,15.86750000000029,29.32,-4.388e-06
112,1,16.41450000000077,29.31,-4.555e-06
115,1,16.95350000000053,29.31,-4.826e-06
119,1,17.5,29.31,-4.867e-06
123,1,18.04750000000058,29.31,-4.534e-06
126,1,18.60200000000077,29.31,-4.722e-06
130,1,19.14099999999962,29.31,-4.815e-06
134,1,19.68000000000029,29.31,-4.711e-06
138,1,20.22700000000077,29.31,-4.774e-06
141,1,20.78150000000005,29.31,-4.628e-06
145,1,21.32050000000072,29.305,-4.711e-06
149,1,21.86000000000058,29.31,-4.94e-06
152,1,22.39900000000034,29.3,-4.857e-06
156,1,22.94550000000072,29.3,-4.93e-06
160,1,23.48450000000048,29.3,-4.774e-06
164,1,24.02400000000034,29.3,-4.951e-06
167,1,24.5630000000001,29.3,-4.961e-06
171,1,25.11000000000058,29.3,-4.722e-06
175,1,25.64900000000034,29.3,-5.013e-06
178,1,26.19550000000072,29.3,-4.732e-06
182,1,26.74250000000029,29.3,-5.034e-06
186,1,27.28200000000106,29.3,-4.899e-06
189,1,27.82050000000072,29.3,-4.888e-06
193,1,28.35200000000077,29.3,-5.107e-06
197,1,28.87500000000061,29.3,-5.222e-06
201,1,29.44550000000072,29.3,-4.972e-06
204,1,29.99250000000029,29.3,-5.118e-06
208,1,30.53950000000077,29.3,-5.243e-06
212,1,31.07800000000134,29.3,-5.128e-06
215,1,31.625,29.3,-4.961e-06
219,1,32.15650000000005,29.3,-5.347e-06
223,1,32.71100000000115,29.305,-5.065e-06
226,1,33.2505000000001,29.31,-5.034e-06
230,1,33.78950000000077,29.31,-5.264e-06
234,1,34.32800000000134,29.31,-4.93e-06
238,1,34.875,29.31,-5.222e-06
241,1,35.39900000000034,29.31,-5.17e-06
245,1,35.94550000000072,29.31,-5.347e-06
249,1,36.49250000000029,29.31,-5.253e-06
252,1,37.03200000000106,29.31,-5.462e-06
256,1,37.57050000000072,29.31,-5.097e-06
260,1,38.10200000000077,29.315,-5.326e-06
263,1,38.64900000000034,29.32,-5.045e-06
267,1,39.18750000000091,29.32,-5.034e-06
271,1,39.72700000000077,29.315,-5.065e-06
274,1,40.27400000000034,29.315,-5.264e-06
278,1,40.8130000000001,29.32,-5.305e-06
282,1,41.34400000000096,29.32,-5.253e-06
285,1,41.88299999999981,29.32,-5.045e-06
289,1,42.42250000000058,29.32,-5.566e-06
293,1,42.97700000000077,29.33,-5.326e-06
297,1,43.50799999999981,29.33,-5.399e-06
300,1,44.0630000000001,29.34,-5.295e-06
304,1,44.60950000000048,29.34,-5.045e-06
308,1,45.16450000000077,29.34,-5.149e-06
312,1,45.71100000000115,29.34,-5.18e-06
315,1,46.24250000000029,29.35,-5.451e-06
319,1,46.78150000000005,29.35,-5.472e-06
323,1,47.33600000000115,29.355,-5.065e-06
326,1,47.875,29.36,-5.399e-06
330,1,48.40700000000106,29.365,-5.347e-06
334,1,48.94550000000072,29.38,-4.805e-06
337,1,49.5005000000001,29.39,-4.972e-06
341,1,50.04700000000048,29.39,-4.993e-06
345,1,50.59400000000096,29.4,-5.045e-06
349,1,51.13299999999981,29.4,-5.013e-06
352,1,51.66450000000077,29.41,-5.055e-06
356,1,52.21100000000115,29.41,-4.94e-06
360,1,52.75799999999981,29.42,-5.013e-06
363,1,53.31250000000091,29.425,-4.993e-06
367,1,53.86750000000029,29.435,-5.107e-06
371,1,54.39900000000034,29.44,-5.149e-06
375,1,54.9380000000001,29.455,-5.17e-06
378,1,55.48500000000058,29.46,-4.93e-06
382,1,56.00799999999981,29.47,-4.909e-06
386,1,56.55500000000029,29.48,-5.191e-06
389,1,57.10200000000077,29.49,-5.118e-06
393,1,57.64100000000053,29.5,-5.065e-06
397,1,58.1880000000001,29.505,-5.097e-06
400,1,58.72700000000077,29.515,-4.878e-06
404,1,59.27350000000024,29.525,-5.42e-06
408,1,59.82050000000072,29.54,-4.69e-06
412,1,60.36000000000058,29.55,-5.284e-06
415,1,60.91450000000077,29.56,-5.013e-06
419,1,61.44550000000072,29.57,-5.149e-06
423,1,61.99250000000029,29.58,-5.024e-06
426,1,62.52400000000034,29.595,-4.815e-06
430,1,63.0630000000001,29.605,-5.055e-06
434,1,63.61000000000058,29.61,-4.774e-06
437,1,64.14900000000034,29.625,-4.93e-06
441,1,64.68750000000091,29.64,-4.826e-06
445,1,65.22700000000077,29.65,-4.951e-06
449,1,65.77400000000034,29.66,-5.274e-06
452,1,66.30500000000029,29.67,-4.972e-06
456,1,66.86000000000058,29.69,-4.909e-06
460,1,67.39900000000034,29.695,-5.086e-06
463,1,67.93750000000091,29.715,-4.69e-06
467,1,68.47700000000077,29.725,-4.961e-06
471,1,69.02400000000034,29.74,-5.347e-06
474,1,69.56250000000091,29.745,-5.086e-06
478,1,70.10950000000048,29.76,-4.69e-06
482,1,70.66450000000077,29.77,-4.722e-06
486,1,71.19550000000072,29.795,-5.055e-06
489,1,71.73500000000058,29.805,-5.055e-06
493,1,72.28200000000106,29.815,-5.378e-06
497,1,72.82850000000053,29.83,-4.94e-06
500,1,73.36750000000029,29.845,-5.138e-06
504,1,73.91450000000077,29.855,-5.159e-06
508,1,74.45300000000134,29.865,-5.024e-06
511,1,74.98500000000058,29.895,-5.128e-06
515,1,75.52400000000034,29.915,-4.784e-06
519,1,76.07050000000072,29.925,-5.503e-06
522,1,76.60200000000077,29.935,-5.128e-06
526,1,77.14900000000034,29.95,-5.409e-06
530,1,77.6880000000001,29.965,-5.316e-06
534,1,78.22700000000077,29.975,-5.628e-06
537,1,78.78150000000005,29.985,-5.576e-06
541,1,79.32050000000072,30.01,-5.43e-06
545,1,79.86000000000058,30.02,-5.493e-06
547,1,80.25000000000091,30.035,-5.441e-06
551,1,80.73500000000058,30.045,-5.535e-06
554,1,81.28200000000106,30.06,-5.545e-06
558,1,81.82050000000072,30.075,-5.701e-06
562,1,82.35200000000077,30.085,-5.806e-06
565,1,82.90700000000106,30.1,-5.743e-06
569,1,83.45300000000134,30.125,-5.368e-06
573,1,83.98500000000058,30.135,-5.753e-06
577,1,84.53200000000106,30.145,-5.441e-06
580,1,85.0630000000001,30.165,-5.545e-06
584,1,85.61750000000029,30.175,-5.232e-06
588,1,86.17200000000048,30.185,-5.576e-06
591,1,86.71100000000115,30.2,-5.597e-06
595,1,87.25,30.225,-5.535e-06
599,1,87.78950000000077,30.235,-5.232e-06
602,1,88.32800000000134,30.245,-5.535e-06
606,1,88.875,30.26,-5.409e-06
610,1,89.41450000000077,30.275,-5.451e-06
614,1,89.95300000000134,30.29,-5.284e-06
617,1,90.5,30.315,-5.472e-06
621,1,91.04700000000048,30.325,-5.378e-06
625,1,91.58600000000115,30.34,-5.441e-06
628,1,92.125,30.355,-5.566e-06
632,1,92.67200000000048,30.365,-5.597e-06
636,1,93.20300000000134,30.385,-5.753e-06
640,1,93.76600000000053,30.395,-5.68e-06
643,1,94.3130000000001,30.42,-5.691e-06
647,1,94.85200000000077,30.43,-5.462e-06
651,1,95.39900000000034,30.445,-5.764e-06
654,1,95.9380000000001,30.465,-5.441e-06
658,1,96.48500000000058,30.475,-5.493e-06
662,1,97.02400000000034,30.49,-5.701e-06
666,1,97.5630000000001,30.51,-5.618e-06
669,1,98.11750000000029,30.53,-5.712e-06
673,1,98.66450000000077,30.545,-5.826e-06
677,1,99.21900000000096,30.55,-5.722e-06
681,1,99.76599999999962,30.57,-5.753e-06
684,1,100.3130000000001,30.58,-5.878e-06
688,1,100.844000000001,30.595,-5.795e-06
692,1,101.3909999999996,30.615,-5.566e-06
695,1,101.9380000000001,30.635,-5.701e-06
699,1,102.4770000000008,30.645,-5.837e-06
703,1,103.0159999999996,30.66,-6.024e-06
706,1,103.5550000000003,30.675,-5.899e-06
710,1,104.1020000000008,30.69,-5.816e-06
714,1,104.6645000000008,30.715,-5.733e-06
718,1,105.2110000000011,30.735,-5.441e-06
721,1,105.7579999999998,30.745,-5.889e-06
725,1,106.3050000000003,30.765,-5.566e-06
729,1,106.844000000001,30.785,-6.066e-06
733,1,107.4533333333335,30.79333333333333,-5.816e-06
736,1,107.9455000000007,30.815,-5.92e-06
740,1,108.4850000000006,30.835,-5.816e-06
744,1,109.0240000000003,30.845,-5.972e-06
747,1,109.5630000000001,30.86,-5.899e-06
751,1,110.1100000000006,30.88,-5.712e-06
755,1,110.6570000000011,30.895,-5.628e-06
759,1,111.1880000000001,30.915,-5.951e-06
762,1,111.75,30.93,-5.566e-06
766,1,112.2820000000011,30.945,-5.931e-06
770,1,112.8280000000013,30.965,-5.795e-06
773,1,113.3600000000006,30.985,-5.764e-06
777,1,113.9145000000008,31,-5.462e-06
781,1,114.4610000000011,31.025,-5.566e-06
785,1,115,31.045,-5.607e-06
788,1,115.5395000000008,31.06,-5.618e-06
792,1,116.0780000000013,31.085,-5.493e-06
796,1,116.6175000000003,31.095,-5.409e-06
799,1,117.1570000000011,31.13,-5.524e-06
803,1,117.7030000000013,31.145,-5.67e-06
807,1,118.2425000000003,31.16,-5.107e-06
810,1,118.7740000000003,31.18,-5.555e-06
814,1,119.3130000000001,31.195,-5.003e-06
818,1,119.8520000000008,31.22,-5.222e-06
821,1,120.3990000000003,31.245,-5.274e-06
825,1,120.9455000000007,31.265,-5.451e-06
829,1,121.4850000000006,31.295,-5.284e-06
833,1,122.0240000000003,31.32,-5.409e-06
836,1,122.5630000000001,31.34,-5.326e-06
840,1,123.1100000000006,31.37,-4.815e-06
844,1,123.6490000000003,31.395,-5.159e-06
847,1,124.1880000000001,31.41,-5.201e-06
851,1,124.719000000001,31.44,-5.389e-06
855,1,125.2659999999996,31.46,-5.232e-06
858,1,125.8050000000003,31.485,-5.097e-06
862,1,126.344000000001,31.505,-4.972e-06
866,1,126.8909999999996,31.555,-4.993e-06
869,1,127.4220000000005,31.575,-5.211e-06
873,1,127.9770000000008,31.595,-4.993e-06
877,1,128.5240000000003,31.625,-5.159e-06
881,1,129.0705000000007,31.655,-4.69e-06
884,1,129.6020000000008,31.675,-5.149e-06
888,1,130.1490000000003,31.705,-5.013e-06
892,1,130.6955000000007,31.73,-5.274e-06
895,1,131.2425000000003,31.755,-5.149e-06
899,1,131.7820000000011,31.775,-5.034e-06
903,1,132.3130000000001,31.805,-5.409e-06
906,1,132.8520000000008,31.83,-5.17e-06
910,1,133.3990000000003,31.86,-5.076e-06
914,1,133.9380000000001,31.885,-4.836e-06
918,1,134.4770000000008,31.905,-5.555e-06
921,1,135.0159999999996,31.935,-5.138e-06
925,1,135.5550000000003,31.965,-5.472e-06
929,1,136.094000000001,31.99,-4.899e-06
932,1,136.6329999999998,32.015,-5.149e-06
936,1,137.1800000000003,32.05,-5.128e-06
940,1,137.719000000001,32.07,-5.159e-06
943,1,138.2579999999998,32.09,-4.899e-06
947,1,138.7970000000005,32.11499999999999,-5.295e-06
951,1,139.3360000000011,32.145,-5.389e-06
954,1,139.875,32.175,-5.545e-06
958,1,140.4220000000005,32.205,-5.065e-06
962,1,140.9610000000011,32.22499999999999,-5.149e-06
965,1,141.5,32.255,-5.149e-06
969,1,142.0470000000005,32.29,-5.013e-06
973,1,142.5860000000011,32.315,-4.94e-06
977,1,143.125,32.345,-5.024e-06
980,1,143.6720000000005,32.375,-5.378e-06
984,1,144.2110000000011,32.4,-4.867e-06
988,1,144.7579999999998,32.425,-5.597e-06
991,1,145.2970000000005,32.45,-5.409e-06
995,1,145.8360000000011,32.48,-5.264e-06
999,1,146.375,32.505,-5.128e-06
1002,1,146.9145000000008,32.535,-5.034e-06
1006,1,147.4610000000011,32.565,-5.305e-06
1010,1,148,32.59,-5.086e-06
1014,1,148.5395000000008,32.625,-5.284e-06
1017,1,149.0780000000013,32.65,-5.211e-06
1021,1,149.6255000000001,32.675,-6.785e-06
1025,1,150.1800000000003,32.705,-7.119e-06
1028,1,150.7270000000008,32.73,-6.806e-06
1032,1,151.2740000000003,32.765,-6.577e-06
1036,1,151.8700000000002,32.79333333333333,-6.056e-06
1040,1,152.3520000000008,32.815,-5.983e-06
1043,1,152.8990000000003,32.85,-5.712e-06
1047,1,153.4380000000001,32.88500000000001,-5.618e-06
1051,1,153.9770000000008,32.905,-5.232e-06
1054,1,154.5159999999996,32.935,-5.097e-06
1058,1,155.0550000000003,32.97,-5.045e-06
1062,1,155.6020000000008,32.99,-4.909e-06
1065,1,156.1409999999996,33.02,-5.128e-06
1069,1,156.6955000000007,33.05,-4.909e-06
1073,1,157.2350000000006,33.08,-4.795e-06
1077,1,157.7740000000003,33.11,-4.847e-06
1080,1,158.3205000000007,33.13500000000001,-4.732e-06
1084,1,158.8520000000008,33.19,-4.701e-06
1088,1,159.3909999999996,33.215,-4.847e-06
1091,1,159.9375000000009,33.245,-4.774e-06
1095,1,160.4850000000006,33.275,-4.815e-06
1099,1,161.0320000000011,33.305,-4.899e-06
1102,1,161.5630000000001,33.33,-4.888e-06
1106,1,162.1020000000008,33.36499999999999,-4.857e-06
1110,1,162.6409999999996,33.395,-4.857e-06
1114,1,163.1880000000001,33.415,-5.013e-06
1117,1,163.7270000000008,33.455,-4.92e-06
1121,1,164.2659999999996,33.48,-4.669e-06
1125,1,164.8050000000003,33.505,-4.92e-06
1128,1,165.344000000001,33.545,-4.815e-06
1132,1,165.8990000000003,33.565,-4.836e-06
1136,1,166.4380000000001,33.6,-5.065e-06
1139,1,166.9850000000006,33.625,-4.649e-06
1143,1,167.5320000000011,33.655,-5.013e-06
1147,1,168.0780000000013,33.685,-4.93e-06
