
Bin,Number,Channel Y0,Channel Y1,Channel Y2
---,---,Time,Resistance,Voltage
1,1,0.1666666666666667,25.86,-3.314e-06
5,1,0.7340000000003783,25.855,-3.116e-06
8,1,1.281000000000859,25.85,-3.21e-06
12,1,1.819999999999709,25.845,-2.637e-06
16,1,2.367000000000189,25.84,-3.023e-06
19,1,2.914000000000669,25.84,-2.689e-06
23,1,3.453000000000429,25.84,-3.012e-06
27,1,4.007500000000618,25.84,-2.47e-06
31,1,4.546500000000378,25.83,-2.814e-06
34,1,5.101500000000669,25.83,-2.908e-06
38,1,5.648000000001048,25.83,-2.627e-06
42,1,6.203000000000429,25.83,-2.793e-06
46,1,6.742000000000189,25.82,-2.658e-06
49,1,7.289000000000669,25.82,-3.002e-06
53,1,7.82799999999952,25.82,-2.71e-06
57,1,8.367000000000189,25.82,-2.689e-06
60,1,8.906000000000859,25.82,-3.012e-06
64,1,9.46100000000024,25.81,-2.564e-06
68,1,10.00750000000062,25.81,-2.95e-06
72,1,10.54700000000048,25.81,-2.481e-06
75,1,11.08600000000024,25.81,-2.606e-06
79,1,11.63250000000062,25.81,-2.689e-06
83,1,12.16400000000067,25.78,-2.554e-06
86,1,12.70299999999952,25.78,-2.887e-06
90,1,13.25750000000062,25.78,-2.908e-06
94,1,13.8125,25.78,-2.731e-06
98,1,14.35900000000038,25.775,-2.449e-06
101,1,14.89800000000105,25.77,-2.825e-06
105,1,15.4369999999999,25.77,-2.554e-06
109,1,15.97650000000067,25.77,-2.408e-06
112,1,16.51550000000043,25.77,-2.898e-06
116,1,17.06999999999971,25.77,-2.939e-06
120,1,17.60900000000038,25.77,-2.752e-06
123,1,18.14800000000105,25.765,-2.616e-06
127,1,18.67950000000019,25.76,-2.835e-06
131,1,19.22650000000067,25.76,-2.741e-06
134,1,19.76550000000043,25.76,-2.741e-06
138,1,20.31999999999971,25.76,-2.783e-06
142,1,20.85900000000038,25.755,-2.668e-06
146,1,21.39800000000105,25.755,-2.418e-06
149,1,21.92950000000019,25.755,-2.637e-06
153,1,22.47650000000067,25.755,-2.564e-06
157,1,23.01550000000043,25.76,-2.887e-06
160,1,23.55450000000019,25.76,-2.939e-06
164,1,24.10150000000067,25.76,-2.939e-06
168,1,24.64050000000043,25.765,-3.158e-06
171,1,25.17950000000019,25.77,-3.033e-06
175,1,25.72650000000067,25.77,-2.918e-06
179,1,26.26500000000124,25.775,-2.752e-06
182,1,26.80450000000019,25.78,-2.898e-06
186,1,27.35150000000067,25.78,-2.616e-06
190,1,27.88250000000062,25.81,-2.856e-06
194,1,28.42200000000048,25.81,-2.856e-06
197,1,28.96900000000096,25.82,-2.616e-06
201,1,29.50750000000062,25.82,-2.345e-06
205,1,30.04650000000038,25.83,-2.7e-06
208,1,30.58600000000024,25.835,-2.752e-06
212,1,31.125,25.84,-2.647e-06
216,1,31.67200000000048,25.85,-2.929e-06
219,1,32.20300000000043,25.86,-2.856e-06
223,1,32.74200000000019,25.86,-2.804e-06
227,1,33.28900000000067,25.87,-2.439e-06
230,1,33.81999999999971,25.88,-3.273e-06
