Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A),HeatingCurr(A),SampCurr_order(A)0.453,3.1399e-06,0.0037811,0,0.13,0
0.703,2.986e-06,0.0037729,0,0.13,0
0.953,2.7846e-06,0.0037869,0,0.13,0
1.235,3.0303e-06,-0.27505,0,0.13,0.27857
1.516,3.1169e-06,0.0037573,0,0.13,0
1.797,2.8715e-06,-0.55392,0,0.13,0.55714
2.078,2.6989e-06,0.0037383,0,0.13,0
2.36,2.6898e-06,-0.83256,0,0.13,0.83571
2.641,2.5249e-06,0.0037107,0,0.13,0
2.922,2.5338e-06,-1.1111,0,0.13,1.1143
3.203,3.4413e-06,0.0037047,0,0.13,0
3.485,2.68e-06,-1.3894,0,0.13,1.3929
3.766,3.5475e-06,0.0036989,0,0.13,0
4.047,2.8553e-06,-1.6679,0,0.13,1.6714
4.328,3.2012e-06,0.0036719,0,0.13,0
4.61,3.2611e-06,-1.9466,0,0.13,1.95
4.891,2.8506e-06,0.0036601,0,0.13,0
5.172,3.6724e-06,-2.2251,0,0.13,2.2286
5.453,4.2028e-06,0.0036421,0,0.13,0
5.735,3.5117e-06,-2.5036,0,0.13,2.5071
6.016,3.3769e-06,0.0035765,0,0.13,0
6.297,4.0331e-06,-2.7823,0,0.13,2.7857
6.578,5.0342e-06,0.0035901,0,0.13,0
6.875,4.6949e-06,-3.0609,0,0.13,3.0643
7.172,5.3142e-06,0.0035546,0,0.13,0
7.453,4.207e-06,-3.3393,0,0.13,3.3429
7.75,5.3539e-06,0.0036004,0,0.13,0
8.032,2.5359e-06,-3.6177,0,0.13,3.6214
8.328,6.7848e-06,0.0035291,0,0.13,0
8.625,1.9968e-06,-3.8962,0,0.13,3.9
9.563,37.5,7.5977e-06,0.0037759,0.1,0.13,0
9.828,37.5,8.1688e-06,0.0037786,0.1,0.13,0
10.078,37.5,6.811e-06,0.0038001,0.1,0.13,0
10.36,37.5,7.677e-06,-0.27503,0.1,0.13,0.27857
10.641,37.5,7.0605e-06,0.0037593,0.1,0.13,0
10.922,37.5,5.8345e-06,-0.55391,0.1,0.13,0.55714
11.203,37.5,5.6775e-06,0.0037417,0.1,0.13,0
11.485,37.5,5.0516e-06,-0.83248,0.1,0.13,0.83571
11.766,37.5,5.5198e-06,0.003723,0.1,0.13,0
12.047,37.5,4.7104e-06,-1.111,0.1,0.13,1.1143
12.328,37.5,5.1755e-06,0.0037119,0.1,0.13,0
12.61,37.5,4.3593e-06,-1.3894,0.1,0.13,1.3929
12.891,37.5,4.4844e-06,0.0037018,0.1,0.13,0
13.172,37.5,3.8674e-06,-1.6679,0.1,0.13,1.6714
13.453,37.5,4.613e-06,0.0036788,0.1,0.13,0
13.735,37.5,3.4786e-06,-1.9464,0.1,0.13,1.95
14.016,37.5,4.4802e-06,0.0036562,0.1,0.13,0
14.297,37.5,3.2925e-06,-2.225,0.1,0.13,2.2286
14.578,37.5,4.3335e-06,0.0036489,0.1,0.13,0
14.86,37.5,4.2957e-06,-2.5035,0.1,0.13,2.5071
15.141,37.5,4.5168e-06,0.0036152,0.1,0.13,0
15.422,37.5,4.0244e-06,-2.7821,0.1,0.13,2.7857
15.703,37.5,4.4722e-06,0.0036197,0.1,0.13,0
15.985,37.5,4.5051e-06,-3.0607,0.1,0.13,3.0643
16.266,37.5,5.5477e-06,0.0036189,0.1,0.13,0
16.547,37.5,3.4758e-06,-3.3392,0.1,0.13,3.3429
16.828,37.5,5.6336e-06,0.0035589,0.1,0.13,0
17.11,37.5,2.1118e-06,-3.6176,0.1,0.13,3.6214
17.391,37.5,6.1553e-06,0.0035433,0.1,0.13,0
17.672,37.5,1.3287e-06,-3.8959,0.1,0.13,3.9
18.625,37.49,7.3092e-06,0.0037948,0.2,0.13,0
18.891,37.49,7.1825e-06,0.0038145,0.2,0.13,0
19.141,37.49,7.4535e-06,0.0038092,0.2,0.13,0
19.422,37.49,6.0436e-06,-0.275,0.2,0.13,0.27857
19.703,37.49,6.0776e-06,0.0037819,0.2,0.13,0
19.985,37.49,5.8317e-06,-0.55387,0.2,0.13,0.55714
20.266,37.49,6.4696e-06,0.003753,0.2,0.13,0
20.547,37.49,5.5975e-06,-0.83246,0.2,0.13,0.83571
20.828,37.49,6.1131e-06,0.003723,0.2,0.13,0
21.11,37.49,5.0258e-06,-1.111,0.2,0.13,1.1143
21.391,37.49,5.2879e-06,0.0037279,0.2,0.13,0
21.672,37.49,4.5254e-06,-1.3893,0.2,0.13,1.3929
21.953,37.49,5.133e-06,0.0036966,0.2,0.13,0
22.235,37.49,3.4826e-06,-1.6678,0.2,0.13,1.6714
22.516,37.49,4.1251e-06,0.0036775,0.2,0.13,0
22.797,37.49,4.7693e-06,-1.9463,0.2,0.13,1.95
23.078,37.49,4.6109e-06,0.0036746,0.2,0.13,0
23.36,37.49,4.0226e-06,-2.2248,0.2,0.13,2.2286
23.641,37.49,4.6696e-06,0.0036589,0.2,0.13,0
23.922,37.49,4.4114e-06,-2.5033,0.2,0.13,2.5071
24.203,37.49,4.4988e-06,0.0036453,0.2,0.13,0
24.485,37.49,4.3647e-06,-2.7819,0.2,0.13,2.7857
24.766,37.49,4.5794e-06,0.0036159,0.2,0.13,0
25.047,37.49,5.7292e-06,-3.0605,0.2,0.13,3.0643
25.328,37.49,5.8648e-06,0.0035969,0.2,0.13,0
25.61,37.49,3.8341e-06,-3.339,0.2,0.13,3.3429
25.891,37.49,5.6893e-06,0.0035838,0.2,0.13,0
26.172,37.49,2.841e-06,-3.6174,0.2,0.13,3.6214
26.453,37.49,6.7875e-06,0.0035538,0.2,0.13,0
26.735,37.49,1.757e-06,-3.8958,0.2,0.13,3.9
27.672,37.49,7.727e-06,0.0038118,0.3,0.13,0
27.922,37.49,7.845e-06,0.0038221,0.3,0.13,0
28.172,37.49,7.2149e-06,0.0038239,0.3,0.13,0
28.453,37.49,5.9683e-06,-0.27496,0.3,0.13,0.27857
28.735,37.49,6.8561e-06,0.0037904,0.3,0.13,0
29.016,37.49,6.7291e-06,-0.55383,0.3,0.13,0.55714
29.297,37.49,6.5094e-06,0.0037765,0.3,0.13,0
29.578,37.49,5.8113e-06,-0.83237,0.3,0.13,0.83571
29.86,37.49,5.6893e-06,0.0037542,0.3,0.13,0
30.141,37.49,5.21e-06,-1.1109,0.3,0.13,1.1143
30.422,37.49,5.3036e-06,0.0037299,0.3,0.13,0
30.703,37.49,5.1382e-06,-1.3893,0.3,0.13,1.3929
30.985,37.49,5.4788e-06,0.0037101,0.3,0.13,0
31.266,37.49,4.1728e-06,-1.6677,0.3,0.13,1.6714
31.547,37.49,5.1659e-06,0.0036996,0.3,0.13,0
31.828,37.49,4.1871e-06,-1.9463,0.3,0.13,1.95
32.11,37.49,5.211e-06,0.0036818,0.3,0.13,0
32.391,37.49,4.4741e-06,-2.2248,0.3,0.13,2.2286
32.672,37.49,5.5921e-06,0.0036602,0.3,0.13,0
32.953,37.49,4.5084e-06,-2.5033,0.3,0.13,2.5071
33.235,37.49,4.9622e-06,0.0036568,0.3,0.13,0
33.516,37.49,5.0558e-06,-2.7819,0.3,0.13,2.7857
33.797,37.49,6.0823e-06,0.0036457,0.3,0.13,0
34.078,37.49,4.8003e-06,-3.0604,0.3,0.13,3.0643
34.36,37.49,5.506e-06,0.0035349,0.3,0.13,0
34.641,37.49,4.5111e-06,-3.3389,0.3,0.13,3.3429
34.922,37.49,5.7535e-06,0.0035475,0.3,0.13,0
35.203,37.49,3.2308e-06,-3.6173,0.3,0.13,3.6214
