
Bin,Number,Channel Y0,Channel Y1,Channel Y2
---,---,Time,Resistance,Voltage
0,1,0.1666666666666667,23.42,8.3e-08
3,1,0.8050000000000637,23.415,3.1e-08
5,1,1.297000000000025,23.41,-7.300000000000001e-08
8,1,1.844000000000051,23.41,1.04e-07
10,1,2.375,23.41,-1.77e-07
13,1,2.922000000000025,23.41,9.399999999999999e-08
15,1,3.452999999999975,23.4,-1.46e-07
18,1,3.992500000000064,23.39,-6.3e-08
20,1,4.586000000000013,23.39,1.25e-07
23,1,5.077999999999975,23.39,-5.2e-08
25,1,5.708666666666734,23.38,-8.3e-08
28,1,6.227000000000089,23.38,-2.1e-08
30,1,6.780999999999949,23.38,-4.2e-08
33,1,7.313000000000102,23.375,7.300000000000001e-08
35,1,7.852000000000089,23.375,0
38,1,8.398500000000013,23.37,1.15e-07
40,1,8.938000000000102,23.37,6.3e-08
43,1,9.485000000000127,23.37,-4.2e-08
45,1,10.03150000000005,23.37,1.04e-07
48,1,10.57799999999997,23.36,0
50,1,11.125,23.36,4.2e-08
53,1,11.65599999999995,23.36,1.77e-07
55,1,12.19550000000004,23.33,6.3e-08
57,1,12.73500000000013,23.325,8.3e-08
60,1,13.29700000000003,23.32,-1.98e-07
62,1,13.83600000000001,23.32,-1.56e-07
65,1,14.375,23.32,-1.25e-07
67,1,14.91399999999999,23.32,-1.04e-07
70,1,15.46900000000005,23.315,-1.04e-07
72,1,16.01600000000008,23.31,2.81e-07
75,1,16.5630000000001,23.305,-1e-08
77,1,17.09400000000005,23.3,-2.4e-07
80,1,17.64850000000001,23.3,1.04e-07
82,1,18.19550000000004,23.3,5.2e-08
85,1,18.74250000000006,23.295,-1.15e-07
87,1,19.27350000000001,23.29,-8.3e-08
90,1,19.8130000000001,23.29,-1e-08
92,1,20.35200000000009,23.29,-2.1e-08
95,1,20.89850000000001,23.29,4.2e-08
97,1,21.4380000000001,23.28,9.399999999999999e-08
100,1,21.98500000000013,23.28,-7.300000000000001e-08
102,1,22.58366666666673,23.27,1.35e-07
104,1,23.07050000000004,23.27,-1.46e-07
107,1,23.61000000000013,23.27,-1.77e-07
109,1,24.14850000000001,23.27,-4.2e-08
112,1,24.6880000000001,23.27,7.300000000000001e-08
114,1,25.23450000000003,23.26,-2.92e-07
117,1,25.78099999999995,23.26,-8.3e-08
119,1,26.32050000000004,23.26,-4.06e-07
122,1,26.85950000000003,23.255,3.1e-08
124,1,27.40599999999995,23.25,1.15e-07
127,1,27.94550000000004,23.25,-6.3e-08
129,1,28.52133333333343,23.25,8.3e-08
132,1,29.09400000000005,23.25,1.15e-07
134,1,29.64100000000008,23.25,1.25e-07
137,1,30.18000000000006,23.24,-2.71e-07
139,1,30.71900000000005,23.23,-1.56e-07
142,1,31.25,23.22,-7.300000000000001e-08
144,1,31.79700000000003,23.22,-1e-08
147,1,32.33600000000001,23.22,8.3e-08
149,1,32.88300000000004,23.22,1.67e-07
152,1,33.41399999999999,23.215,5.2e-08
154,1,33.96100000000001,23.21,2.08e-07
157,1,34.54166666666666,23.21,-2.1e-08
159,1,35.11750000000006,23.21,1.56e-07
162,1,35.65599999999995,23.21,9.399999999999999e-08
164,1,36.1880000000001,23.2,1.46e-07
167,1,36.73500000000013,23.2,2.29e-07
169,1,37.27350000000001,23.2,-3.1e-08
172,1,37.82050000000004,23.2,1.56e-07
174,1,38.36000000000013,23.2,5.2e-08
177,1,38.89850000000001,23.2,1.98e-07
179,1,39.4380000000001,23.195,1.35e-07
181,1,39.97700000000009,23.19,1.88e-07
184,1,40.51600000000008,23.19,6.15e-07
186,1,41.0630000000001,23.19,2.5e-07
189,1,41.59400000000005,23.19,2.08e-07
191,1,42.14100000000008,23.185,-7.300000000000001e-08
194,1,42.68000000000006,23.18,1.35e-07
196,1,43.21900000000005,23.175,4.79e-07
199,1,43.75800000000004,23.17,0
201,1,44.29700000000003,23.17,3.1e-08
204,1,44.93233333333334,23.17,2.81e-07
206,1,45.44550000000004,23.17,4.27e-07
209,1,45.99250000000006,23.17,2.29e-07
211,1,46.53099999999995,23.17,1.88e-07
214,1,47.0630000000001,23.17,2.81e-07
216,1,47.61000000000013,23.16,3.1e-08
219,1,48.14850000000001,23.16,4.38e-07
221,1,48.69550000000004,23.16,2.1e-08
224,1,49.23500000000013,23.16,1.04e-07
226,1,49.78099999999995,23.16,2.19e-07
228,1,50.3130000000001,23.155,1.46e-07
231,1,50.86000000000013,23.15,2.5e-07
233,1,51.39100000000008,23.15,3.02e-07
236,1,51.9380000000001,23.14,3.13e-07
238,1,52.47700000000009,23.14,3.34e-07
241,1,53.01600000000008,23.14,9.399999999999999e-08
243,1,53.55500000000006,23.14,1.25e-07
246,1,54.09400000000005,23.12,2.1e-08
248,1,54.63300000000004,23.12,3.1e-08
251,1,55.26566666666668,23.12,5.320000000000001e-07
253,1,55.78099999999995,23.12,3.65e-07
256,1,56.32050000000004,23.12,2.19e-07
258,1,56.86750000000006,23.12,2.61e-07
261,1,57.40599999999995,23.12,3.34e-07
263,1,57.94550000000004,23.11,7.300000000000001e-08
266,1,58.48500000000013,23.11,4.69e-07
268,1,59.03150000000005,23.11,1.25e-07
271,1,59.57799999999997,23.11,3.96e-07
273,1,60.125,23.105,1e-08
276,1,60.67200000000003,23.1,1.15e-07
278,1,61.20299999999997,23.1,8.3e-08
281,1,61.75,23.1,1e-08
283,1,62.28899999999999,23.1,-3.1e-08
286,1,62.84400000000005,23.1,7.300000000000001e-08
288,1,63.375,23.095,8.3e-08
290,1,63.91399999999999,23.09,1.25e-07
293,1,64.46900000000005,23.09,2.61e-07
