
Bin,Number,Channel Y0,Channel Y1,Channel Y2
---,---,Time,Resistance,Voltage
0,1,0.1876666666667006,42.32,4.013e-06
3,1,0.849333333332955,42.31333333333333,3.752e-06
6,1,1.41399999999976,42.31,3.982e-06
8,1,1.960999999999331,42.31,3.721e-06
11,1,2.492000000000189,42.31,3.898e-06
13,1,3.03099999999904,42.3,3.731e-06
16,1,3.585999999999331,42.3,3.596e-06
18,1,4.125,42.295,4.117e-06
21,1,4.680000000000291,42.29,3.679e-06
23,1,5.218999999999141,42.29,3.94e-06
26,1,5.75,42.28,3.888e-06
28,1,6.28899999999976,42.27500000000001,3.679e-06
31,1,6.835999999999331,42.27,4.034e-06
33,1,7.375,42.265,3.909e-06
36,1,7.91399999999976,42.26,4.117e-06
38,1,8.45299999999952,42.26,3.971e-06
40,1,9.007999999999811,42.25,3.856e-06
43,1,9.5625,42.25,3.773e-06
46,1,10.10900000000038,42.25,4.034e-06
48,1,10.64099999999962,42.245,3.867e-06
50,1,11.18000000000029,42.24,4.023e-06
53,1,11.74200000000019,42.24,3.752e-06
55,1,12.29700000000048,42.24,3.627e-06
58,1,12.83599999999933,42.23,3.929e-06
60,1,13.375,42.22499999999999,3.992e-06
63,1,13.91399999999976,42.22,3.815e-06
65,1,14.46899999999914,42.21,3.867e-06
68,1,15.00799999999981,42.21,3.721e-06
70,1,15.54700000000048,42.21,3.763e-06
73,1,16.08599999999933,42.21,3.992e-06
75,1,16.63299999999981,42.21,4.013e-06
78,1,17.18000000000029,42.2,4.054e-06
80,1,17.71899999999914,42.2,3.971e-06
83,1,18.26599999999962,42.2,4.096e-06
85,1,18.80500000000029,42.195,3.971e-06
88,1,19.34399999999914,42.19,4.044e-06
90,1,19.89099999999962,42.19,3.992e-06
92,1,20.43000000000029,42.185,4.034e-06
95,1,20.97649999999976,42.18,3.898e-06
97,1,21.52349999999933,42.16,4.211e-06
100,1,22.0630000000001,42.16,4.325e-06
102,1,22.60900000000038,42.16,4.023e-06
105,1,23.15599999999904,42.155,4.013e-06
107,1,23.69549999999981,42.15,3.846e-06
110,1,24.23400000000038,42.145,3.898e-06
112,1,24.77349999999933,42.14,4.2e-06
115,1,25.32049999999981,42.14,4.023e-06
117,1,25.86700000000019,42.14,3.836e-06
120,1,26.39849999999933,42.13,3.867e-06
122,1,26.94549999999981,42.13,4.065e-06
125,1,27.5,42.13,3.961e-06
127,1,28.03099999999904,42.12,4.19e-06
130,1,28.57049999999981,42.12,4.065e-06
132,1,29.10900000000038,42.11499999999999,3.982e-06
134,1,29.64849999999933,42.11,3.961e-06
137,1,30.19549999999981,42.11,4.273e-06
139,1,30.73400000000038,42.1,3.982e-06
142,1,31.28099999999904,42.1,4.284e-06
144,1,31.82799999999952,42.1,3.898e-06
147,1,32.36700000000019,42.1,4.169e-06
