
Bin,Number,Channel Y0,Channel Y1,Channel Y2
---,---,Time,Resistance,Voltage
0,1,0.1773333333333843,109.3666666666667,-0.010319472
3,1,0.8050000000000637,109.35,-0.010319598
5,1,1.313000000000102,109.3,-0.010319702
8,1,1.852000000000089,109.35,-0.010319743
10,1,2.391000000000076,109.4,-0.010319618
13,1,2.94600000000014,109.4,-0.010319514
15,1,3.485000000000127,109.35,-0.010319598
18,1,4.032000000000153,109.3,-0.010319295
20,1,4.579000000000178,109.3,-0.010319108
23,1,5.125,109.4,-0.010318951
25,1,5.672000000000025,109.3,-0.010319222
28,1,6.204000000000178,109.35,-0.010319024
30,1,6.742500000000064,109.35,-0.010319295
33,1,7.297000000000025,109.35,-0.010319472
35,1,7.829000000000178,109.35,-0.010318795
38,1,8.375,109.3,-0.010318962
40,1,8.922000000000025,109.35,-0.010318785
43,1,9.461500000000115,109.3,-0.010319035
45,1,10.00800000000004,109.3,-0.010319087
48,1,10.55500000000006,109.3,-0.010318868
50,1,11.10200000000009,109.3,-0.01031843
52,1,11.64100000000008,109.3,-0.010318607
55,1,12.18000000000006,109.3,-0.010318493
57,1,12.72700000000009,109.3,-0.010318795
60,1,13.27400000000011,109.3,-0.010318701
63,1,13.86466666666668,109.3,-0.010318534
65,1,14.35200000000009,109.3,-0.010318701
67,1,14.89900000000011,109.3,-0.010318388
70,1,15.4380000000001,109.3,-0.010317972
72,1,15.98500000000013,109.3,-0.010317774
75,1,16.52400000000011,109.3,-0.010317284
77,1,17.10466666666677,110.8,-0.01031694
80,1,17.67200000000003,109.3,-0.010316835
82,1,18.21900000000005,109.3,-0.010316398
85,1,18.75800000000004,109.3,-0.010316502
87,1,19.29700000000003,109.3,-0.010316137
90,1,19.83650000000011,109.3,-0.010315564
92,1,20.36750000000006,109.3,-0.010314918
95,1,20.91450000000009,109.2,-0.010314928
97,1,21.46900000000005,109.2,-0.010314428
100,1,22.00800000000004,109.2,-0.010313834
102,1,22.54700000000003,109.2,-0.010313427
105,1,23.08650000000011,109.2,-0.010313177
107,1,23.625,109.1,-0.010312176
110,1,24.17200000000003,109,-0.010312218
112,1,24.70400000000018,109,-0.010311228
114,1,25.25,109,-0.010310644
117,1,25.78200000000015,109,-0.01030955
119,1,26.32900000000018,109,-0.010309008
122,1,26.86750000000006,108.9,-0.01030832
124,1,27.40700000000015,109,-0.010307632
127,1,27.95400000000018,109,-0.010307007
129,1,28.47700000000009,108.9,-0.010306194
132,1,29.02400000000011,108.9,-0.010305381
134,1,29.57100000000014,108.9,-0.010304391
137,1,30.11000000000013,108.9,-0.010303494
139,1,30.64900000000011,108.9,-0.01030241
141,1,31.18000000000006,108.8,-0.010301774
144,1,31.72700000000009,108.8,-0.010300367
146,1,32.26600000000008,108.8,-0.010299502
149,1,32.80500000000006,108.8,-0.010298366
151,1,33.38033333333336,110.2,-0.010297595
154,1,33.96150000000011,108.7,-0.010296209
156,1,34.49250000000006,108.7,-0.010295104
159,1,35.03200000000015,108.7,-0.010293832
