Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A)
0,46.21,4.1003e-05,0.02,0
0.922,46.21,-2.8757e-05,0,0
1.797,46.21,0.00013568,0.02,0.1
2.657,46.21,-2.8486e-05,0,0.1
3.532,46.21,0.00013589,0.02,0.2
4.391,46.21,-2.8225e-05,0,0.2
5.344,46.21,0.00013621,0.02,0.3
6.157,46.21,-2.8329e-05,0,0.3
7,46.21,0.00013646,0.02,0.4
7.86,46.22,-2.7829e-05,0,0.4
8.735,46.21,0.00013663,0.02,0.5
9.657,46.22,-2.8194e-05,0,0.5
10.532,46.22,0.00013679,0.02,0.6
11.391,46.22,-2.8371e-05,0,0.6
12.375,46.22,0.00013669,0.02,0.7
13.219,46.22,-2.785e-05,0,0.7
14.063,46.22,0.00013686,0.02,0.8
14.891,46.22,-2.7954e-05,0,0.8
15.766,46.22,0.00013688,0.02,0.9
16.688,46.23,-2.811e-05,0,0.9
17.563,46.22,0.00013695,0.02,1
18.407,46.23,-2.809e-05,0,1
19.266,46.22,0.00013731,0.02,1.1
20.235,46.23,-2.7933e-05,0,1.1
21.094,46.23,0.00013734,0.02,1.2
21.922,46.23,-2.7787e-05,0,1.2
22.75,46.23,0.00013746,0.02,1.3
23.579,46.23,-2.7891e-05,0,1.3
24.438,46.23,0.00013747,0.02,1.4
25.266,46.23,-2.7964e-05,0,1.4
26.094,46.23,0.00013732,0.02,1.5
26.922,46.23,-2.7683e-05,0,1.5
27.922,46.23,0.00013745,0.02,1.6
28.75,46.23,-2.8037e-05,0,1.6
29.579,46.23,0.00013756,0.02,1.7
30.422,46.23,-2.8256e-05,0,1.7
31.266,46.23,0.00013739,0.02,1.8
32.204,46.23,-2.76e-05,0,1.8
33.063,46.24,0.00013762,0.02,1.9
33.891,46.24,-2.7787e-05,0,1.9
34.719,46.24,0.00013784,0.02,2
35.547,46.24,-2.7819e-05,0,2
36.407,46.24,0.00013799,0.02,2.1
37.344,46.24,-2.7944e-05,0,2.1
38.204,46.24,0.00013772,0.02,2.2
39.047,46.24,-2.8225e-05,0,2.2
39.86,46.24,0.00013742,0.02,2.3
40.704,46.24,-2.8017e-05,0,2.3
41.547,46.24,0.00013803,0.02,2.4
42.391,46.24,-2.7412e-05,0,2.4
43.25,46.24,0.0001382,0.02,2.5
44.219,46.24,-2.7944e-05,0,2.5
45.063,46.24,0.000138,0.02,2.6
45.907,46.24,-2.7548e-05,0,2.6
46.766,46.25,0.00013836,0.02,2.7
47.735,46.25,-2.8121e-05,0,2.7
48.594,46.25,0.00013771,0.02,2.8
49.422,46.25,-2.7391e-05,0,2.8
50.282,46.25,0.00013773,0.02,2.9
51.25,46.25,-2.7985e-05,0,2.9
52.11,46.25,0.00013831,0.02,3
52.938,46.28,-2.7704e-05,0,3
