Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A),heat_current(A),coil_current_order(A), sample_current_order(A)
10,49.67,0.00015585,0.02,0,0.15,0,-0.5
10.594,49.67,0.00015588,0.02,0,0.15,0,-0.44737
11.187,49.67,0.00015588,0.02,0,0.15,0,-0.39474
11.828,49.67,0.00015669,0.02,0,0.15,0,-0.34211
12.469,49.67,0.00015627,0.02,0,0.15,0,-0.28947
13.062,49.67,0.00015554,0.02,0,0.15,0,-0.23684
13.656,49.67,0.00015588,0.02,0,0.15,0,-0.18421
14.25,49.67,0.00015618,0.02,0,0.15,0,-0.13158
14.844,49.67,0.00015688,0.02,0,0.15,0,-0.078947
15.437,49.67,0.00015616,0.02,0,0.15,0,-0.026316
16.078,49.67,0.00021533,0.026316,0,0.15,0,0.026316
16.547,49.67,0.00070177,0.078947,0,0.15,0,0.078947
17.109,49.67,0.0011883,0.13158,0,0.15,0,0.13158
17.672,49.67,0.0016761,0.18421,0,0.15,0,0.18421
18.219,49.67,0.002163,0.23684,0,0.15,0,0.23684
18.734,49.67,0.0026503,0.28947,0,0.15,0,0.28947
19.328,49.67,0.0031386,0.3421,0,0.15,0,0.34211
19.812,49.67,0.0036273,0.39474,0,0.15,0,0.39474
20.375,49.68,0.0041144,0.44737,0,0.15,0,0.44737
20.922,49.68,0.0046042,0.5,0,0.15,0,0.5
21.484,49.68,0.004604,0.5,0.075,0.15,0.075,-0.5
22.094,49.68,0.0046069,0.5,0.075,0.15,0.075,-0.44737
22.703,49.68,0.0046088,0.5,0.075,0.15,0.075,-0.39474
23.328,49.68,0.0046106,0.5,0.075,0.15,0.075,-0.34211
23.953,49.68,0.0046125,0.5,0.075,0.15,0.075,-0.28947
24.578,49.68,0.0046122,0.5,0.075,0.15,0.075,-0.23684
25.203,49.68,0.0046157,0.5,0.075,0.15,0.075,-0.18421
25.781,49.68,0.0046167,0.5,0.075,0.15,0.075,-0.13158
26.406,49.68,0.0046175,0.5,0.075,0.15,0.075,-0.078947
27.031,49.68,0.0046185,0.5,0.075,0.15,0.075,-0.026316
27.656,49.68,0.00021676,0.026316,0.075,0.15,0.075,0.026316
28.125,49.68,0.00070563,0.078947,0.075,0.15,0.075,0.078947
28.609,49.68,0.0011942,0.13158,0.075,0.15,0.075,0.13158
29.156,49.68,0.0016834,0.18421,0.075,0.15,0.075,0.18421
29.672,49.68,0.0021728,0.23684,0.075,0.15,0.075,0.23684
30.219,49.68,0.0026616,0.28947,0.075,0.15,0.075,0.28947
30.734,49.68,0.0031507,0.3421,0.075,0.15,0.075,0.34211
31.328,49.68,0.0036395,0.39474,0.075,0.15,0.075,0.39474
31.875,49.69,0.0041295,0.44737,0.075,0.15,0.075,0.44737
32.422,49.69,0.0046209,0.5,0.075,0.15,0.075,0.5
33.031,49.68,0.0046205,0.5,0.15,0.15,0.15,-0.5
33.656,49.69,0.004622,0.5,0.15,0.15,0.15,-0.44737
34.25,49.69,0.0046234,0.5,0.15,0.15,0.15,-0.39474
34.828,49.69,0.0046251,0.5,0.15,0.15,0.15,-0.34211
35.422,49.69,0.0046256,0.5,0.15,0.15,0.15,-0.28947
36,49.69,0.004626,0.5,0.15,0.15,0.15,-0.23684
36.625,49.69,0.0046283,0.5,0.15,0.15,0.15,-0.18421
37.25,49.69,0.0046299,0.5,0.15,0.15,0.15,-0.13158
37.875,49.69,0.0046301,0.5,0.15,0.15,0.15,-0.078947
38.5,49.69,0.0046313,0.5,0.15,0.15,0.15,-0.026316
39.125,49.69,0.00021644,0.026316,0.15,0.15,0.15,0.026316
39.719,49.69,0.00070644,0.078947,0.15,0.15,0.15,0.078947
40.266,49.69,0.0011968,0.13158,0.15,0.15,0.15,0.13158
40.828,49.69,0.0016867,0.18421,0.15,0.15,0.15,0.18421
41.375,49.69,0.0021767,0.23684,0.15,0.15,0.15,0.23684
41.891,49.69,0.0026668,0.28947,0.15,0.15,0.15,0.28947
42.469,49.69,0.0031578,0.3421,0.15,0.15,0.15,0.34211
42.984,49.69,0.0036475,0.39474,0.15,0.15,0.15,0.39474
43.547,49.69,0.0041392,0.44737,0.15,0.15,0.15,0.44737
44.062,49.69,0.0046298,0.5,0.15,0.15,0.15,0.5
44.609,49.69,0.0046316,0.5,0.225,0.15,0.225,-0.5
45.219,49.69,0.0046322,0.5,0.225,0.15,0.225,-0.44737
45.828,49.69,0.004633,0.5,0.225,0.15,0.225,-0.39474
46.453,49.69,0.0046349,0.5,0.225,0.15,0.225,-0.34211
47.078,49.71,0.0046357,0.5,0.225,0.15,0.225,-0.28947
47.703,49.71,0.0046361,0.5,0.225,0.15,0.225,-0.23684
