Time(sec),TempRes(Ohm),SampVolt(V),heat_current(A),coil_current_order(A), sample_current_order(A)
10.171,50.13,-2.7885e-05,0.15,0,0
10.234,50.13,-2.687e-05,0.15,0,0.035714
10.281,50.13,-2.7091e-05,0.15,0,0.071429
10.328,50.13,0.0002929,0.15,0,0.10714
10.39,50.13,0.00031712,0.15,0,0.14286
10.437,50.13,0.00065998,0.15,0,0.17857
10.5,50.13,0.00084588,0.15,0,0.21429
10.546,50.13,0.0010027,0.15,0,0.25
10.593,50.13,0.0013456,0.15,0,0.28571
10.875,50.13,0.0023753,0.15,0,0.32143
10.921,50.13,0.0027193,0.15,0,0.35714
10.984,50.13,0.0027163,0.15,0,0.39286
11.031,50.13,0.0030624,0.15,0,0.42857
11.078,50.13,0.0034091,0.15,0,0.46429
11.14,50.13,0.0034033,0.15,0,0.5
11.421,50.12,0.0047721,0.15,0.075,0
11.484,50.12,0.0037875,0.15,0.075,0.035714
11.531,50.12,-2.4538e-05,0.15,0.075,0.071429
11.578,50.12,0.00031427,0.15,0.075,0.10714
11.64,50.12,0.00031787,0.15,0.075,0.14286
11.687,50.12,0.00065878,0.15,0.075,0.17857
11.75,50.12,0.00085272,0.15,0.075,0.21429
11.796,50.12,0.0010026,0.15,0.075,0.25
11.843,50.12,0.0013448,0.15,0.075,0.28571
12.125,50.12,0.0023744,0.15,0.075,0.32143
12.171,50.12,0.0027158,0.15,0.075,0.35714
12.234,50.12,0.002744,0.15,0.075,0.39286
12.281,50.12,0.00306,0.15,0.075,0.42857
12.328,50.12,0.0033813,0.15,0.075,0.46429
12.39,50.12,0.0034008,0.15,0.075,0.5
12.593,50.11,0.0044292,0.15,0.15,0
12.656,50.11,0.0045432,0.15,0.15,0.035714
12.703,50.11,0.0047479,0.15,0.15,0.071429
12.75,50.11,-1.7894e-05,0.15,0.15,0.10714
12.812,50.11,-2.5477e-05,0.15,0.15,0.14286
12.859,50.11,0.00031684,0.15,0.15,0.17857
13.125,50.11,0.001345,0.15,0.15,0.21429
13.171,50.11,0.0016869,0.15,0.15,0.25
13.234,50.11,0.0017737,0.15,0.15,0.28571
13.281,50.11,0.0020296,0.15,0.15,0.32143
13.328,50.11,0.0023611,0.15,0.15,0.35714
13.39,50.11,0.002373,0.15,0.15,0.39286
13.437,50.11,0.002714,0.15,0.15,0.42857
13.703,50.11,0.003744,0.15,0.15,0.46429
13.75,50.11,0.0040891,0.15,0.15,0.5
13.968,50.09,0.0047717,0.15,0.225,0
14.015,50.09,0.0010088,0.15,0.225,0.035714
