Time(sec),TempRes(Ohm),SampVolt(V),heat_current(A),coil_current_order(A), sample_current_order(A)
120.19,47.12,0.00047259,0.14,0,0
120.25,47.12,0.00031586,0.14,0,0.035714
120.3,47.12,-2.6011e-05,0.14,0,0.071429
120.34,47.12,0.00022269,0.14,0,0.10714
120.41,47.12,0.00022294,0.14,0,0.14286
120.45,47.12,0.00047252,0.14,0,0.17857
120.52,47.12,0.00063139,0.14,0,0.21429
120.56,47.12,0.00072244,0.14,0,0.25
120.61,47.12,0.00097293,0.14,0,0.28571
120.89,47.12,0.001727,0.14,0,0.32143
120.94,47.12,0.0019777,0.14,0,0.35714
121,47.12,0.0019781,0.14,0,0.39286
121.05,47.12,0.0022299,0.14,0,0.42857
121.09,47.12,0.0024785,0.14,0,0.46429
121.16,47.12,0.0024826,0.14,0,0.5
121.36,47.12,0.0032773,0.14,0.075,0
121.42,47.12,0.0033093,0.14,0.075,0.035714
121.47,47.12,0.0035309,0.14,0.075,0.071429
121.53,47.12,-2.0709e-05,0.14,0.075,0.10714
121.58,47.12,-2.5313e-05,0.14,0.075,0.14286
121.63,47.12,0.00022649,0.14,0.075,0.17857
121.89,47.12,0.0009843,0.14,0.075,0.21429
121.94,47.12,0.0012375,0.14,0.075,0.25
122,47.12,0.0012473,0.14,0.075,0.28571
122.05,47.12,0.0014906,0.14,0.075,0.32143
122.11,47.12,0.0017448,0.14,0.075,0.35714
122.16,47.12,0.0017455,0.14,0.075,0.39286
122.2,47.12,0.0019989,0.14,0.075,0.42857
122.47,47.12,0.0027613,0.14,0.075,0.46429
122.53,47.12,0.003016,0.14,0.075,0.5
122.74,47.1,0.0035439,0.14,0.15,0
122.78,47.1,0.001605,0.14,0.15,0.035714
122.84,47.1,-2.5724e-05,0.14,0.15,0.071429
122.89,47.1,0.00022775,0.14,0.15,0.10714
122.95,47.1,0.00027196,0.14,0.15,0.14286
123,47.1,0.00048132,0.14,0.15,0.17857
123.05,47.1,0.00070597,0.14,0.15,0.21429
123.11,47.1,0.00073619,0.14,0.15,0.25
123.16,47.1,0.00098977,0.14,0.15,0.28571
123.42,47.1,0.0017532,0.14,0.15,0.32143
123.47,47.1,0.0020071,0.14,0.15,0.35714
123.53,47.1,0.0020082,0.14,0.15,0.39286
123.58,47.1,0.0022633,0.14,0.15,0.42857
123.63,47.1,0.0025106,0.14,0.15,0.46429
123.69,47.1,0.0025178,0.14,0.15,0.5
124.02,47.08,0.0035502,0.14,0.225,0
124.06,47.08,0.0024141,0.14,0.225,0.035714
124.13,47.08,-2.4384e-05,0.14,0.225,0.071429
124.17,47.08,0.00022835,0.14,0.225,0.10714
124.24,47.08,0.0002292,0.14,0.225,0.14286
124.28,47.08,0.00048286,0.14,0.225,0.17857
124.33,47.08,0.00073639,0.14,0.225,0.21429
124.39,47.08,0.00073757,0.14,0.225,0.25
124.44,47.08,0.00099187,0.14,0.225,0.28571
124.7,47.08,0.0017573,0.14,0.225,0.32143
124.77,47.08,0.0020112,0.14,0.225,0.35714
124.81,47.08,0.0020118,0.14,0.225,0.39286
124.86,47.08,0.0022669,0.14,0.225,0.42857
124.92,47.08,0.0025203,0.14,0.225,0.46429
124.97,47.08,0.0025221,0.14,0.225,0.5
125.17,47.07,0.0032964,0.14,0.3,0
125.24,47.07,0.0033197,0.14,0.3,0.035714
125.28,47.07,0.0035516,0.14,0.3,0.071429
125.33,47.07,-1.5633e-05,0.14,0.3,0.10714
125.39,47.07,-2.5027e-05,0.14,0.3,0.14286
125.44,47.07,0.00022924,0.14,0.3,0.17857
125.7,47.07,0.00099291,0.14,0.3,0.21429
125.77,47.07,0.0012467,0.14,0.3,0.25
125.81,47.07,0.0012538,0.14,0.3,0.28571
125.86,47.07,0.0015016,0.14,0.3,0.32143
125.92,47.07,0.0017575,0.14,0.3,0.35714
125.97,47.07,0.001758,0.14,0.3,0.39286
126.03,47.07,0.0020118,0.14,0.3,0.42857
126.28,47.07,0.0027779,0.14,0.3,0.46429
126.34,47.07,0.0030328,0.14,0.3,0.5
126.55,47.06,0.0035551,0.14,0.375,0
