Time(sec),TempRes(Ohm),SampVolt(V),heat_current(A),coil_current_order(A), sample_current_order(A)
150.33,40.7,5.3218e-06,0.14,0,0.2
150.38,40.7,8.9191e-06,0.14,0,0.30526
150.44,40.7,-1.5477e-05,0.14,0,0.41053
150.49,40.7,-4.1188e-05,0.14,0,0.51579
150.53,40.7,-4.1481e-05,0.14,0,0.62105
150.59,40.7,-7.7583e-05,0.14,0,0.72632
150.64,40.7,-0.00011077,0.14,0,0.83158
150.7,40.7,-0.00012417,0.14,0,0.93684
150.75,40.7,-0.00017982,0.14,0,1.0421
151.02,40.7,-0.00040062,0.14,0,1.1474
151.06,40.7,-0.00049023,0.14,0,1.2526
151.13,40.7,-0.0005229,0.14,0,1.3579
151.17,40.7,-0.00058721,0.14,0,1.4632
151.24,40.7,-0.0006904,0.14,0,1.5684
151.28,40.7,-0.00073616,0.14,0,1.6737
151.34,40.7,-0.00080081,0.14,0,1.7789
151.39,40.7,-0.00091784,0.14,0,1.8842
151.64,40.7,-0.0013046,0.14,0,1.9895
151.69,40.7,-0.0014438,0.14,0,2.0947
151.75,40.7,-0.0015153,0.14,0,2.2
151.95,40.7,-0.0018985,0.14,0,0.21
152,40.7,-0.0019018,0.14,0,0.31526
152.06,40.7,-0.0019054,0.14,0,0.42053
152.5,40.7,-8.6225e-05,0.14,0,0.52579
152.55,40.7,-0.00013558,0.14,0,0.63105
152.61,40.7,-0.00013418,0.14,0,0.73632
152.66,40.7,-0.00019431,0.14,0,0.84158
152.72,40.7,-0.00024525,0.14,0,0.94684
152.77,40.7,-0.00026114,0.14,0,1.0521
152.81,40.7,-0.00033776,0.14,0,1.1574
152.88,40.7,-0.00037492,0.14,0,1.2626
152.92,40.7,-0.0004214,0.14,0,1.3679
152.99,40.7,-0.000513,0.14,0,1.4732
153.24,40.7,-0.00083033,0.14,0,1.5784
153.28,40.7,-0.00094638,0.14,0,1.6837
153.34,40.7,-0.0010209,0.14,0,1.7889
153.39,40.7,-0.0010735,0.14,0,1.8942
153.44,40.7,-0.0012032,0.14,0,1.9995
153.5,40.7,-0.0012881,0.14,0,2.1047
153.55,40.7,-0.0013397,0.14,0,2.21
153.75,40.7,-0.0017811,0.14,0,0.22
153.8,40.7,-0.0018377,0.14,0,0.32526
153.86,40.7,-0.0019402,0.14,0,0.43053
154.41,40.7,-9.4478e-05,0.14,0,0.53579
154.45,40.7,-0.00014445,0.14,0,0.64105
154.5,40.7,-0.00014452,0.14,0,0.74632
154.56,40.7,-0.00020503,0.14,0,0.85158
154.61,40.7,-0.00026914,0.14,0,0.95684
154.67,40.7,-0.00027434,0.14,0,1.0621
154.72,40.7,-0.00035255,0.14,0,1.1674
154.78,40.7,-0.00043629,0.14,0,1.2726
154.83,40.7,-0.00043818,0.14,0,1.3779
154.89,40.7,-0.0005323,0.14,0,1.4832
155.13,40.7,-0.00085355,0.14,0,1.5884
155.19,40.7,-0.00097419,0.14,0,1.6937
155.24,40.7,-0.00099602,0.14,0,1.7989
155.3,40.7,-0.0011002,0.14,0,1.9042
155.34,40.7,-0.0012319,0.14,0,2.0095
155.41,40.7,-0.0013212,0.14,0,2.1147
155.45,40.7,-0.0013708,0.14,0,2.22
155.66,40.7,-0.0018161,0.14,0,0.23
155.7,40.7,-0.0019383,0.14,0,0.33526
155.77,40.7,-0.0019768,0.14,0,0.44053
156.3,40.7,-0.00010097,0.14,0,0.54579
156.36,40.7,-0.00015469,0.14,0,0.65105
156.41,40.7,-0.00015396,0.14,0,0.75632
156.47,40.7,-0.00021708,0.14,0,0.86158
156.52,40.7,-0.00028633,0.14,0,0.96684
156.56,40.7,-0.00028697,0.14,0,1.0721
156.63,40.7,-0.00036737,0.14,0,1.1774
156.67,40.7,-0.00042102,0.14,0,1.2826
156.74,40.7,-0.00045449,0.14,0,1.3879
156.78,40.7,-0.00055001,0.14,0,1.4932
157.03,40.7,-0.00087671,0.14,0,1.5984
157.09,40.7,-0.0009979,0.14,0,1.7037
157.14,40.7,-0.001052,0.14,0,1.8089
157.19,40.7,-0.0011256,0.14,0,1.9142
157.25,40.7,-0.0012589,0.14,0,2.0195
157.3,40.7,-0.0013257,0.14,0,2.1247
157.36,40.7,-0.0013986,0.14,0,2.23
157.56,40.7,-0.0018488,0.14,0,0.24
157.61,40.7,-0.0019636,0.14,0,0.34526
157.67,40.7,-0.0020127,0.14,0,0.45053
158.2,40.7,-0.00010819,0.14,0,0.55579
158.27,40.7,-0.00016269,0.14,0,0.66105
158.31,40.7,-0.00016118,0.14,0,0.76632
158.36,40.7,-0.00022712,0.14,0,0.87158
158.42,40.7,-0.00028414,0.14,0,0.97684
158.47,40.7,-0.00030025,0.14,0,1.0821
158.53,40.7,-0.00038101,0.14,0,1.1874
158.58,40.7,-0.0004166,0.14,0,1.2926
158.64,40.7,-0.00047032,0.14,0,1.3979
158.69,40.7,-0.00056628,0.14,0,1.5032
158.94,40.7,-0.00089816,0.14,0,1.6084
158.99,40.7,-0.0010221,0.14,0,1.7137
159.05,40.7,-0.0010527,0.14,0,1.8189
159.09,40.7,-0.0011505,0.14,0,1.9242
159.16,40.7,-0.0012857,0.14,0,2.0295
159.2,40.7,-0.0013844,0.14,0,2.1347
159.27,40.7,-0.001426,0.14,0,2.24
159.47,40.7,-0.0018814,0.14,0,0.25
159.52,40.7,-0.0020414,0.14,0,0.35526
159.58,40.7,-0.002045,0.14,0,0.46053
160.11,40.7,-0.00011577,0.14,0,0.56579
160.16,40.7,-0.00017222,0.14,0,0.67105
160.22,40.7,-0.00017191,0.14,0,0.77632
160.27,40.7,-0.00023755,0.14,0,0.88158
160.33,40.7,-0.0003047,0.14,0,0.98684
160.38,40.7,-0.00031225,0.14,0,1.0921
160.42,40.7,-0.00039526,0.14,0,1.1974
160.49,40.7,-0.00043786,0.14,0,1.3026
160.53,40.7,-0.00048597,0.14,0,1.4079
160.59,40.7,-0.00058424,0.14,0,1.5132
160.84,40.7,-0.00092005,0.14,0,1.6184
160.89,40.7,-0.0010453,0.14,0,1.7237
160.95,40.7,-0.0011001,0.14,0,1.8289
161,40.7,-0.0011754,0.14,0,1.9342
161.06,40.7,-0.0013116,0.14,0,2.0395
161.11,40.7,-0.0013745,0.14,0,2.1447
161.16,40.7,-0.001454,0.14,0,2.25
161.47,40.7,-0.0020777,0.14,0,0.26
161.52,40.7,-0.0020804,0.14,0,0.36526
161.58,40.7,-0.0020837,0.14,0,0.47053
162,40.7,-0.00012377,0.14,0,0.57579
162.06,40.7,-0.00017897,0.14,0,0.68105
162.11,40.7,-0.00018125,0.14,0,0.78632
162.17,40.7,-0.00024906,0.14,0,0.89158
162.22,40.7,-0.00032263,0.14,0,0.99684
162.28,40.7,-0.00032528,0.14,0,1.1021
162.33,40.7,-0.00040898,0.14,0,1.2074
162.38,40.7,-0.00046305,0.14,0,1.3126
162.44,40.7,-0.00050118,0.14,0,1.4179
162.49,40.7,-0.00060115,0.14,0,1.5232
162.74,40.7,-0.00094188,0.14,0,1.6284
162.8,40.7,-0.0010675,0.14,0,1.7337
162.84,40.7,-0.0011165,0.14,0,1.8389
162.91,40.7,-0.0011989,0.14,0,1.9442
162.95,40.7,-0.0013368,0.14,0,2.0495
163,40.7,-0.0013983,0.14,0,2.1547
163.06,40.7,-0.0014809,0.14,0,2.26
163.27,40.7,-0.0019437,0.14,0,0.27
163.33,40.7,-0.0021067,0.14,0,0.37526
163.38,40.7,-0.0021101,0.14,0,0.48053
163.91,40.7,-0.00013118,0.14,0,0.58579
163.97,40.7,-0.00019007,0.14,0,0.69105
164.02,40.7,-0.00018973,0.14,0,0.79632
164.06,40.7,-0.0002592,0.14,0,0.90158
164.13,40.7,-0.00030667,0.14,0,1.0068
164.17,40.7,-0.00033642,0.14,0,1.1121
164.24,40.7,-0.00042323,0.14,0,1.2174
164.28,40.7,-0.00048717,0.14,0,1.3226
164.34,40.7,-0.00051704,0.14,0,1.4279
164.39,40.7,-0.00061875,0.14,0,1.5332
164.64,40.7,-0.00096254,0.14,0,1.6384
164.69,40.7,-0.0010903,0.14,0,1.7437
164.75,40.7,-0.0011385,0.14,0,1.8489
164.8,40.7,-0.0012229,0.14,0,1.9542
164.86,40.7,-0.0013621,0.14,0,2.0595
164.91,40.7,-0.0014224,0.14,0,2.1647
164.95,40.7,-0.0015072,0.14,0,2.27
165.17,40.7,-0.0019741,0.14,0,0.28
165.24,40.7,-0.0021398,0.14,0,0.38526
165.28,40.7,-0.0021425,0.14,0,0.49053
165.81,40.7,-0.0001389,0.14,0,0.59579
165.86,40.7,-0.00019888,0.14,0,0.70105
165.92,40.7,-0.00019976,0.14,0,0.80632
165.97,40.7,-0.00026996,0.14,0,0.91158
166.02,40.7,-0.0003485,0.14,0,1.0168
166.08,40.7,-0.0003487,0.14,0,1.1221
166.13,40.7,-0.00043737,0.14,0,1.2274
166.19,40.7,-0.00050738,0.14,0,1.3326
166.24,40.7,-0.00053163,0.14,0,1.4379
166.3,40.7,-0.00063497,0.14,0,1.5432
166.53,40.7,-0.00098367,0.14,0,1.6484
166.59,40.7,-0.0011128,0.14,0,1.7537
166.64,40.7,-0.0011512,0.14,0,1.8589
166.7,40.7,-0.0012475,0.14,0,1.9642
166.75,40.7,-0.0013876,0.14,0,2.0695
166.8,40.7,-0.0014969,0.14,0,2.1747
166.86,40.7,-0.001534,0.14,0,2.28
167.06,40.7,-0.0020041,0.14,0,0.29
167.11,40.7,-0.0021488,0.14,0,0.39526
167.17,40.7,-0.0021741,0.14,0,0.50053
167.7,40.7,-0.00014603,0.14,0,0.60579
167.77,40.7,-0.00020856,0.14,0,0.71105
167.81,40.7,-0.00020913,0.14,0,0.81632
167.88,40.7,-0.00028175,0.14,0,0.92158
167.92,40.7,-0.00036183,0.14,0,1.0268
167.97,40.7,-0.0003621,0.14,0,1.1321
168.03,40.7,-0.00045138,0.14,0,1.2374
168.08,40.7,-0.00052099,0.14,0,1.3426
168.14,40.7,-0.00054728,0.14,0,1.4479
168.19,40.7,-0.00065214,0.14,0,1.5532
168.44,40.7,-0.0010046,0.14,0,1.6584
168.49,40.7,-0.0011345,0.14,0,1.7637
168.55,40.7,-0.0011749,0.14,0,1.8689
168.59,40.7,-0.0012707,0.14,0,1.9742
168.66,40.7,-0.0014121,0.14,0,2.0795
168.7,40.7,-0.0015237,0.14,0,2.1847
168.75,40.7,-0.0015604,0.14,0,2.29
169.31,40.68,-0.0036367,0.14,0.16667,0.2
169.36,40.68,-0.0036423,0.14,0.16667,0.30526
169.41,40.68,-0.00019187,0.14,0.16667,0.41053
169.47,40.68,-0.00017474,0.14,0.16667,0.51579
169.52,40.68,-0.00029495,0.14,0.16667,0.62105
169.58,40.68,-0.00037411,0.14,0.16667,0.72632
169.63,40.68,-0.00042422,0.14,0.16667,0.83158
169.67,40.68,-0.00056502,0.14,0.16667,0.93684
169.94,40.68,-0.0010215,0.14,0.16667,1.0421
170,40.68,-0.0011861,0.14,0.16667,1.1474
170.05,40.68,-0.0011851,0.14,0.16667,1.2526
170.11,40.68,-0.0013547,0.14,0.16667,1.3579
170.16,40.68,-0.0015274,0.14,0.16667,1.4632
170.22,40.68,-0.0015917,0.14,0.16667,1.5684
170.27,40.68,-0.001706,0.14,0.16667,1.6737
170.31,40.68,-0.0018864,0.14,0.16667,1.7789
170.58,40.68,-0.0024552,0.14,0.16667,1.8842
170.63,40.68,-0.0026511,0.14,0.16667,1.9895
170.69,40.68,-0.0027298,0.14,0.16667,2.0947
170.74,40.68,-0.0028533,0.14,0.16667,2.2
170.94,40.68,-0.0034726,0.14,0.16667,0.21
170.99,40.68,-0.0034763,0.14,0.16667,0.31526
171.05,40.68,-0.0034799,0.14,0.16667,0.42053
171.52,40.68,-0.00044499,0.14,0.16667,0.52579
171.56,40.68,-0.00058561,0.14,0.16667,0.63105
171.61,40.68,-0.00058472,0.14,0.16667,0.73632
171.67,40.68,-0.00073521,0.14,0.16667,0.84158
171.72,40.68,-0.0008785,0.14,0.16667,0.94684
171.78,40.68,-0.00088989,0.14,0.16667,1.0521
171.83,40.68,-0.0010501,0.14,0.16667,1.1574
171.89,40.68,-0.0011317,0.14,0.16667,1.2626
171.94,40.68,-0.0012155,0.14,0.16667,1.3679
171.99,40.68,-0.0013857,0.14,0.16667,1.4732
172.24,40.68,-0.0019226,0.14,0.16667,1.5784
172.3,40.68,-0.0021098,0.14,0.16667,1.6837
172.34,40.68,-0.0021577,0.14,0.16667,1.7889
172.41,40.68,-0.0023002,0.14,0.16667,1.8942
172.45,40.68,-0.0024942,0.14,0.16667,1.9995
172.52,40.68,-0.0026385,0.14,0.16667,2.1047
172.56,40.68,-0.0026929,0.14,0.16667,2.21
172.77,40.68,-0.0033065,0.14,0.16667,0.22
172.83,40.68,-0.0034786,0.14,0.16667,0.32526
172.88,40.68,-0.0035203,0.14,0.16667,0.43053
173.41,40.68,-0.00046272,0.14,0.16667,0.53579
173.47,40.68,-0.00060696,0.14,0.16667,0.64105
173.52,40.68,-0.00060594,0.14,0.16667,0.74632
173.58,40.68,-0.0007568,0.14,0.16667,0.85158
173.63,40.68,-0.00091336,0.14,0.16667,0.95684
173.69,40.68,-0.00091348,0.14,0.16667,1.0621
173.74,40.68,-0.0010752,0.14,0.16667,1.1674
173.8,40.68,-0.0012008,0.14,0.16667,1.2726
173.84,40.68,-0.001242,0.14,0.16667,1.3779
173.89,40.68,-0.0014141,0.14,0.16667,1.4832
174.14,40.68,-0.0019551,0.14,0.16667,1.5884
174.2,40.68,-0.0021431,0.14,0.16667,1.6937
174.25,40.68,-0.0022263,0.14,0.16667,1.7989
174.31,40.68,-0.002335,0.14,0.16667,1.9042
174.36,40.68,-0.0025299,0.14,0.16667,2.0095
174.41,40.68,-0.0026249,0.14,0.16667,2.1147
174.47,40.68,-0.0027299,0.14,0.16667,2.22
174.67,40.68,-0.0033474,0.14,0.16667,0.23
174.74,40.68,-0.0035592,0.14,0.16667,0.33526
174.78,40.68,-0.0035624,0.14,0.16667,0.44053
175.31,40.68,-0.00048176,0.14,0.16667,0.54579
175.38,40.68,-0.00062556,0.14,0.16667,0.65105
175.42,40.68,-0.00062612,0.14,0.16667,0.75632
175.47,40.68,-0.00077824,0.14,0.16667,0.86158
175.53,40.68,-0.00088383,0.14,0.16667,0.96684
175.58,40.68,-0.00093603,0.14,0.16667,1.0721
175.64,40.68,-0.0010996,0.14,0.16667,1.1774
175.69,40.68,-0.001224,0.14,0.16667,1.2826
175.74,40.68,-0.0012682,0.14,0.16667,1.3879
175.8,40.68,-0.0014412,0.14,0.16667,1.4932
176.05,40.68,-0.0019855,0.14,0.16667,1.5984
176.09,40.68,-0.0021743,0.14,0.16667,1.7037
176.16,40.68,-0.0022711,0.14,0.16667,1.8089
176.2,40.68,-0.0023677,0.14,0.16667,1.9142
176.27,40.68,-0.0025643,0.14,0.16667,2.0195
176.31,40.68,-0.002667,0.14,0.16667,2.1247
176.36,40.68,-0.0027647,0.14,0.16667,2.23
176.58,40.68,-0.0033854,0.14,0.16667,0.24
176.63,40.68,-0.003594,0.14,0.16667,0.34526
176.69,40.68,-0.0036013,0.14,0.16667,0.45053
177.22,40.68,-0.00049885,0.14,0.16667,0.55579
177.27,40.68,-0.00064554,0.14,0.16667,0.66105
177.33,40.68,-0.00064424,0.14,0.16667,0.76632
177.38,40.68,-0.00079943,0.14,0.16667,0.87158
177.44,40.68,-0.00092592,0.14,0.16667,0.97684
177.49,40.68,-0.00095819,0.14,0.16667,1.0821
177.53,40.68,-0.0011238,0.14,0.16667,1.1874
177.59,40.68,-0.0011947,0.14,0.16667,1.2926
177.64,40.68,-0.001293,0.14,0.16667,1.3979
177.7,40.68,-0.0014669,0.14,0.16667,1.5032
177.95,40.68,-0.0020154,0.14,0.16667,1.6084
178,40.68,-0.0022061,0.14,0.16667,1.7137
178.06,40.68,-0.002242,0.14,0.16667,1.8189
178.11,40.68,-0.0023997,0.14,0.16667,1.9242
178.16,40.68,-0.0025963,0.14,0.16667,2.0295
178.22,40.68,-0.0027251,0.14,0.16667,2.1347
178.27,40.68,-0.0027987,0.14,0.16667,2.24
178.47,40.68,-0.003422,0.14,0.16667,0.25
178.52,40.68,-0.0035277,0.14,0.16667,0.35526
178.58,40.68,-0.0036385,0.14,0.16667,0.46053
179.13,40.68,-0.00051737,0.14,0.16667,0.56579
179.17,40.68,-0.00066504,0.14,0.16667,0.67105
179.24,40.68,-0.00066443,0.14,0.16667,0.77632
179.28,40.68,-0.00081954,0.14,0.16667,0.88158
179.33,40.68,-0.00097794,0.14,0.16667,0.98684
179.39,40.68,-0.00098005,0.14,0.16667,1.0921
179.44,40.68,-0.0011458,0.14,0.16667,1.1974
