Time(sec),TempRes(Ohm),SampVolt(V),heat_current(A),coil_current_order(A), sample_current_order(A)
210.31,43.79,1.3314e-05,0.147,0,0.2
210.36,43.79,6.3076e-06,0.147,0,0.30526
210.42,43.79,-0.0004148,0.147,0,0.41053
210.47,43.79,-0.00065965,0.147,0,0.51579
210.53,43.79,-0.00066038,0.147,0,0.62105
210.58,43.79,-0.00091453,0.147,0,0.72632
210.64,43.79,-0.0011469,0.147,0,0.83158
210.69,43.79,-0.0011769,0.147,0,0.93684
210.74,43.79,-0.0014462,0.147,0,1.0421
211.02,43.79,-0.0022896,0.147,0,1.1474
211.06,43.79,-0.0025805,0.147,0,1.2526
211.11,43.79,-0.0026585,0.147,0,1.3579
211.17,43.79,-0.0028809,0.147,0,1.4632
211.22,43.79,-0.0031823,0.147,0,1.5684
211.28,43.79,-0.003279,0.147,0,1.6737
211.33,43.79,-0.0034934,0.147,0,1.7789
211.39,43.79,-0.0038054,0.147,0,1.8842
211.64,43.79,-0.0047891,0.147,0,1.9895
211.69,43.79,-0.0051217,0.147,0,2.0947
211.75,43.79,-0.0052023,0.147,0,2.2
211.95,43.79,-0.0061958,0.147,0,0.21
212,43.79,-0.0062191,0.147,0,0.31526
212.06,43.79,-0.0062427,0.147,0,0.42053
212.5,43.79,-0.0010191,0.147,0,0.52579
212.55,43.79,-0.0012962,0.147,0,0.63105
212.61,43.79,-0.0012965,0.147,0,0.73632
212.66,43.79,-0.0015815,0.147,0,0.84158
212.72,43.79,-0.0017685,0.147,0,0.94684
212.77,43.79,-0.0018701,0.147,0,1.0521
212.83,43.79,-0.0021653,0.147,0,1.1574
212.88,43.79,-0.0022437,0.147,0,1.2626
212.92,43.79,-0.0024641,0.147,0,1.3679
212.99,43.79,-0.0027679,0.147,0,1.4732
213.24,43.79,-0.0037123,0.147,0,1.5784
213.3,43.79,-0.0040346,0.147,0,1.6837
213.34,43.79,-0.0041667,0.147,0,1.7889
213.41,43.79,-0.0043688,0.147,0,1.8942
213.45,43.79,-0.0047013,0.147,0,1.9995
213.5,43.79,-0.0048582,0.147,0,2.1047
213.56,43.79,-0.0050488,0.147,0,2.21
213.77,43.79,-0.0061141,0.147,0,0.22
213.83,43.79,-0.006406,0.147,0,0.32526
213.88,43.79,-0.0064978,0.147,0,0.43053
214.41,43.79,-0.0011021,0.147,0,0.53579
214.47,43.79,-0.0013942,0.147,0,0.64105
214.52,43.79,-0.0013923,0.147,0,0.74632
214.58,43.79,-0.0016904,0.147,0,0.85158
214.63,43.79,-0.0019593,0.147,0,0.95684
214.69,43.79,-0.0019893,0.147,0,1.0621
214.74,43.79,-0.0022956,0.147,0,1.1674
214.78,43.79,-0.002441,0.147,0,1.2726
214.84,43.79,-0.0026059,0.147,0,1.3779
214.89,43.79,-0.0029201,0.147,0,1.4832
215.16,43.79,-0.0038939,0.147,0,1.5884
215.2,43.79,-0.0042261,0.147,0,1.6937
215.25,43.79,-0.004262,0.147,0,1.7989
215.31,43.79,-0.0045705,0.147,0,1.9042
215.36,43.79,-0.0049119,0.147,0,2.0095
215.42,43.79,-0.0051141,0.147,0,2.1147
215.47,43.79,-0.0052699,0.147,0,2.22
215.67,43.79,-0.0063612,0.147,0,0.23
215.74,43.79,-0.0065626,0.147,0,0.33526
215.78,43.79,-0.0067541,0.147,0,0.44053
216.33,43.79,-0.0011797,0.147,0,0.54579
216.38,43.79,-0.0014824,0.147,0,0.65105
216.44,43.79,-0.0014809,0.147,0,0.75632
216.49,43.79,-0.0017889,0.147,0,0.86158
216.55,43.79,-0.0020472,0.147,0,0.96684
216.59,43.79,-0.002099,0.147,0,1.0721
216.66,43.79,-0.0024164,0.147,0,1.1774
216.7,43.79,-0.0025598,0.147,0,1.2826
216.75,43.79,-0.0027353,0.147,0,1.3879
216.81,43.79,-0.0030608,0.147,0,1.4932
217.06,43.79,-0.0040613,0.147,0,1.5984
217.13,43.79,-0.0044032,0.147,0,1.7037
217.17,43.79,-0.0045641,0.147,0,1.8089
217.24,43.79,-0.0047541,0.147,0,1.9142
217.28,43.79,-0.0051067,0.147,0,2.0195
217.33,43.79,-0.0052922,0.147,0,2.1247
217.39,43.79,-0.0054734,0.147,0,2.23
217.59,43.79,-0.006592,0.147,0,0.24
217.64,43.79,-0.0068495,0.147,0,0.34526
217.7,43.79,-0.0069944,0.147,0,0.45053
218.25,43.79,-0.0012549,0.147,0,0.55579
218.3,43.79,-0.0015678,0.147,0,0.66105
218.36,43.79,-0.0015658,0.147,0,0.76632
218.41,43.79,-0.0018843,0.147,0,0.87158
218.45,43.79,-0.0021512,0.147,0,0.97684
218.52,43.79,-0.0022038,0.147,0,1.0821
218.56,43.79,-0.0025293,0.147,0,1.1874
218.63,43.79,-0.0026663,0.147,0,1.2926
218.67,43.79,-0.0028576,0.147,0,1.3979
218.74,43.79,-0.0031925,0.147,0,1.5032
218.99,43.79,-0.0042198,0.147,0,1.6084
219.03,43.79,-0.0045708,0.147,0,1.7137
219.09,43.79,-0.004755,0.147,0,1.8189
219.14,43.79,-0.0049304,0.147,0,1.9242
219.2,43.79,-0.0052903,0.147,0,2.0295
219.25,43.79,-0.0055138,0.147,0,2.1347
219.3,43.79,-0.0056652,0.147,0,2.24
219.52,43.79,-0.0068133,0.147,0,0.25
219.58,43.79,-0.0072023,0.147,0,0.35526
219.63,43.79,-0.0072257,0.147,0,0.46053
220.16,43.79,-0.0013286,0.147,0,0.56579
220.22,43.79,-0.0016516,0.147,0,0.67105
220.27,43.79,-0.0016496,0.147,0,0.77632
220.33,43.79,-0.0019767,0.147,0,0.88158
220.38,43.79,-0.0022432,0.147,0,0.98684
220.42,43.79,-0.0023052,0.147,0,1.0921
220.49,43.79,-0.0026411,0.147,0,1.1974
220.53,43.79,-0.0027847,0.147,0,1.3026
220.59,43.79,-0.0029775,0.147,0,1.4079
220.64,43.79,-0.0033194,0.147,0,1.5132
220.91,43.79,-0.0043715,0.147,0,1.6184
220.95,43.79,-0.0047306,0.147,0,1.7237
221,43.79,-0.0048944,0.147,0,1.8289
221.06,43.79,-0.0050983,0.147,0,1.9342
221.11,43.79,-0.0054664,0.147,0,2.0395
221.17,43.79,-0.0056456,0.147,0,2.1447
221.22,43.79,-0.0058486,0.147,0,2.25
221.42,43.79,-0.0070164,0.147,0,0.26
221.47,43.79,-0.0071979,0.147,0,0.36526
221.53,43.79,-0.007436,0.147,0,0.47053
222.08,43.79,-0.0014019,0.147,0,0.57579
222.13,43.79,-0.0017303,0.147,0,0.68105
222.19,43.79,-0.0017315,0.147,0,0.78632
222.24,43.79,-0.0020677,0.147,0,0.89158
222.3,43.79,-0.0022799,0.147,0,0.99684
222.34,43.79,-0.0024054,0.147,0,1.1021
222.39,43.79,-0.0027479,0.147,0,1.2074
222.45,43.79,-0.0028192,0.147,0,1.3126
222.5,43.79,-0.0030934,0.147,0,1.4179
222.56,43.79,-0.0034441,0.147,0,1.5232
222.81,43.79,-0.0045193,0.147,0,1.6284
222.88,43.79,-0.0048857,0.147,0,1.7337
222.92,43.79,-0.0050332,0.147,0,1.8389
222.97,43.79,-0.0052616,0.147,0,1.9442
223.03,43.79,-0.0056365,0.147,0,2.0495
223.08,43.79,-0.0058054,0.147,0,2.1547
223.14,43.79,-0.0060271,0.147,0,2.26
223.34,43.79,-0.0072196,0.147,0,0.27
223.39,43.79,-0.0074942,0.147,0,0.37526
223.45,43.79,-0.0076471,0.147,0,0.48053
224,43.79,-0.0014743,0.147,0,0.58579
224.05,43.79,-0.0018146,0.147,0,0.69105
224.09,43.79,-0.001812,0.147,0,0.79632
224.16,43.79,-0.0021575,0.147,0,0.90158
224.2,43.79,-0.0024225,0.147,0,1.0068
224.27,43.79,-0.0025016,0.147,0,1.1121
224.31,43.79,-0.0028537,0.147,0,1.2174
224.38,43.79,-0.0029819,0.147,0,1.3226
224.42,43.79,-0.003206,0.147,0,1.4279
224.47,43.79,-0.0035646,0.147,0,1.5332
224.72,43.79,-0.0046628,0.147,0,1.6384
224.78,43.79,-0.0050363,0.147,0,1.7437
224.83,43.79,-0.0050932,0.147,0,1.8489
224.89,43.79,-0.0054193,0.147,0,1.9542
224.94,43.79,-0.0058029,0.147,0,2.0595
225,43.79,-0.0060313,0.147,0,2.1647
225.05,43.79,-0.0062009,0.147,0,2.27
225.25,43.79,-0.0074135,0.147,0,0.28
225.31,43.79,-0.0077008,0.147,0,0.38526
225.36,43.79,-0.0078491,0.147,0,0.49053
225.91,43.79,-0.0015456,0.147,0,0.59579
225.95,43.79,-0.0018938,0.147,0,0.70105
226.02,43.79,-0.0018917,0.147,0,0.80632
226.06,43.79,-0.0022448,0.147,0,0.91158
226.11,43.79,-0.0025206,0.147,0,1.0168
226.17,43.79,-0.0025984,0.147,0,1.1221
226.22,43.79,-0.0029572,0.147,0,1.2274
226.28,43.79,-0.0030949,0.147,0,1.3326
226.33,43.79,-0.0033168,0.147,0,1.4379
226.39,43.79,-0.0036829,0.147,0,1.5432
226.64,43.79,-0.0048016,0.147,0,1.6484
226.69,43.79,-0.0051837,0.147,0,1.7537
226.75,43.79,-0.0053005,0.147,0,1.8589
226.8,43.79,-0.0055732,0.147,0,1.9642
226.84,43.79,-0.0059634,0.147,0,2.0695
226.91,43.79,-0.0061362,0.147,0,2.1747
226.95,43.79,-0.0063673,0.147,0,2.28
227.16,43.79,-0.0075989,0.147,0,0.29
227.2,43.79,-0.0076183,0.147,0,0.39526
227.27,43.79,-0.0080406,0.147,0,0.50053
227.81,43.79,-0.0016178,0.147,0,0.60579
227.88,43.79,-0.0019755,0.147,0,0.71105
227.92,43.79,-0.0019726,0.147,0,0.81632
227.97,43.79,-0.0023313,0.147,0,0.92158
228.03,43.79,-0.002687,0.147,0,1.0268
228.08,43.79,-0.0026928,0.147,0,1.1321
228.14,43.79,-0.0030595,0.147,0,1.2374
228.19,43.79,-0.0032733,0.147,0,1.3426
228.24,43.79,-0.0034263,0.147,0,1.4479
228.3,43.79,-0.003799,0.147,0,1.5532
228.55,43.79,-0.00494,0.147,0,1.6584
228.59,43.79,-0.0053268,0.147,0,1.7637
228.66,43.79,-0.0054827,0.147,0,1.8689
228.7,43.79,-0.0057238,0.147,0,1.9742
228.77,43.79,-0.0061207,0.147,0,2.0795
