	Temp	25.000000	
Time	TEMP	REAL TEMP	CURRENT	VOLTAGE
0.000000E+0	25.000000E+0	25.000000	0.000000E+0	-3.46536469E-07
437.024593E-3	25.000000E+0	25.000000	10.000000E-6	-3.70789655E-07
864.049435E-3	25.000000E+0	25.000000	20.000000E-6	-3.67151677E-07
1.289073E+0	25.000000E+0	25.000000	30.000000E-6	-3.60482051E-07
1.716098E+0	25.000000E+0	25.000000	40.000000E-6	-3.71247378E-07
2.142122E+0	25.000000E+0	25.000000	50.000000E-6	-3.69024170E-07
2.568147E+0	25.000000E+0	25.000000	60.000000E-6	-3.66194633E-07
2.993171E+0	25.000000E+0	25.000000	70.000000E-6	-3.66598853E-07
3.420196E+0	25.000000E+0	25.000000	80.000000E-6	-3.58514461E-07
3.846220E+0	25.000000E+0	25.000000	90.000000E-6	-3.82161306E-07
4.272244E+0	25.000000E+0	25.000000	100.000000E-6	-3.57604967E-07
4.698268E+0	25.000000E+0	25.000000	110.000000E-6	-3.65992523E-07
5.124293E+0	25.000000E+0	25.000000	120.000000E-6	-3.65184084E-07
5.549317E+0	25.000000E+0	25.000000	130.000000E-6	-3.66497798E-07
5.976341E+0	25.000000E+0	25.000000	140.000000E-6	-3.69742278E-07
6.402366E+0	25.000000E+0	25.000000	150.000000E-6	-3.70853882E-07
6.829390E+0	25.000000E+0	25.000000	160.000000E-6	-4.30779428E-07
7.254415E+0	25.000000E+0	25.000000	170.000000E-6	-3.73885529E-07
7.681439E+0	25.000000E+0	25.000000	180.000000E-6	-4.49979856E-07
8.107463E+0	25.000000E+0	25.000000	190.000000E-6	-3.75603462E-07
8.533488E+0	25.000000E+0	25.000000	200.000000E-6	-3.79140383E-07
8.958512E+0	25.000000E+0	25.000000	210.000000E-6	-3.59333625E-07
9.384537E+0	25.000000E+0	25.000000	220.000000E-6	-3.63274766E-07
9.809561E+0	25.000000E+0	25.000000	230.000000E-6	-3.57110418E-07
10.236586E+0	25.000000E+0	25.000000	240.000000E-6	-3.72008779E-07
10.659609E+0	25.000000E+0	25.000000	250.000000E-6	-4.05558988E-07
11.086634E+0	25.000000E+0	25.000000	260.000000E-6	-3.53111523E-07
11.511658E+0	25.000000E+0	25.000000	270.000000E-6	-3.53111523E-07
11.938683E+0	25.000000E+0	25.000000	280.000000E-6	-3.38357515E-07
12.363707E+0	25.000000E+0	25.000000	290.000000E-6	-3.87571225E-07
12.788731E+0	25.000000E+0	25.000000	300.000000E-6	-3.58265320E-07
13.213756E+0	25.000000E+0	25.000000	310.000000E-6	-3.80598441E-07
13.638780E+0	25.000000E+0	25.000000	320.000000E-6	-4.19302447E-07
14.064804E+0	25.000000E+0	25.000000	330.000000E-6	-3.53515742E-07
14.488829E+0	25.000000E+0	25.000000	340.000000E-6	-3.69453693E-07
14.913853E+0	25.000000E+0	25.000000	350.000000E-6	-3.89159393E-07
15.338877E+0	25.000000E+0	25.000000	360.000000E-6	-3.85117198E-07
15.762901E+0	25.000000E+0	25.000000	370.000000E-6	-3.81984497E-07
16.190926E+0	25.000000E+0	25.000000	380.000000E-6	-4.43830077E-07
16.615950E+0	25.000000E+0	25.000000	390.000000E-6	-3.71373735E-07
17.041975E+0	25.000000E+0	25.000000	400.000000E-6	-3.70464241E-07
17.467999E+0	25.000000E+0	25.000000	410.000000E-6	-3.63491455E-07
17.894023E+0	25.000000E+0	25.000000	420.000000E-6	-3.49141664E-07
18.319047E+0	25.000000E+0	25.000000	430.000000E-6	-3.51566981E-07
18.745072E+0	25.000000E+0	25.000000	440.000000E-6	-3.59297611E-07
19.170096E+0	25.000000E+0	25.000000	450.000000E-6	-3.84258175E-07
19.595120E+0	25.000000E+0	25.000000	460.000000E-6	-3.75365342E-07
20.021145E+0	25.000000E+0	25.000000	470.000000E-6	-3.61217654E-07
20.448169E+0	25.000000E+0	25.000000	480.000000E-6	-3.61318709E-07
20.873193E+0	25.000000E+0	25.000000	490.000000E-6	-3.64956686E-07
21.299218E+0	25.000000E+0	25.000000	500.000000E-6	-3.57579677E-07
21.724242E+0	25.000000E+0	25.000000	510.000000E-6	-3.84157120E-07
22.150267E+0	25.000000E+0	25.000000	520.000000E-6	-3.61823984E-07
22.576291E+0	25.000000E+0	25.000000	530.000000E-6	-3.57983897E-07
23.003315E+0	25.000000E+0	25.000000	540.000000E-6	-3.42035052E-07
23.428340E+0	25.000000E+0	25.000000	550.000000E-6	-3.54363750E-07
23.853364E+0	25.000000E+0	25.000000	560.000000E-6	-3.81244353E-07
24.278389E+0	25.000000E+0	25.000000	570.000000E-6	-3.44662480E-07
24.703413E+0	25.000000E+0	25.000000	580.000000E-6	-4.00646894E-07
25.129437E+0	25.000000E+0	25.000000	590.000000E-6	-3.92764612E-07
25.553462E+0	25.000000E+0	25.000000	600.000000E-6	-3.40923448E-07
25.978486E+0	25.000000E+0	25.000000	610.000000E-6	-3.58608056E-07
26.402510E+0	25.000000E+0	25.000000	620.000000E-6	-4.17118842E-07
26.827534E+0	25.000000E+0	25.000000	630.000000E-6	-3.42439272E-07
27.253559E+0	25.000000E+0	25.000000	640.000000E-6	-3.52026869E-07
27.679583E+0	25.000000E+0	25.000000	650.000000E-6	-3.68599875E-07
28.104607E+0	25.000000E+0	25.000000	660.000000E-6	-3.67488271E-07
28.530632E+0	25.000000E+0	25.000000	670.000000E-6	-3.45963575E-07
28.958656E+0	25.000000E+0	25.000000	680.000000E-6	-3.40304500E-07
29.385681E+0	25.000000E+0	25.000000	690.000000E-6	-3.43437202E-07
29.810705E+0	25.000000E+0	25.000000	700.000000E-6	-3.60616537E-07
30.235729E+0	25.000000E+0	25.000000	710.000000E-6	-3.37070743E-07
30.661754E+0	25.000000E+0	25.000000	720.000000E-6	-3.42325598E-07
31.087778E+0	25.000000E+0	25.000000	730.000000E-6	-3.52431089E-07
