	Temp	25.000000	
RESSIST	TEMP	REAL TEMP	CURRENT	VOLTAGE
Inf	25.000000E+0	25.000000	0.000000E+0	+1.04425822E-06
104.274240E-3	25.000000E+0	25.000000	10.000000E-6	+1.04274240E-06
50.973902E-3	25.000000E+0	25.000000	20.000000E-6	+1.01947803E-06
35.370423E-3	25.000000E+0	25.000000	30.000000E-6	+1.06111268E-06
25.780010E-3	25.000000E+0	25.000000	40.000000E-6	+1.03120041E-06
21.193958E-3	25.000000E+0	25.000000	50.000000E-6	+1.05969791E-06
16.400129E-3	25.000000E+0	25.000000	60.000000E-6	+9.84007729E-07
14.249258E-3	25.000000E+0	25.000000	70.000000E-6	+9.97448042E-07
12.844530E-3	25.000000E+0	25.000000	80.000000E-6	+1.02756243E-06
11.236584E-3	25.000000E+0	25.000000	90.000000E-6	+1.01129258E-06
10.445397E-3	25.000000E+0	25.000000	100.000000E-6	+1.04453967E-06
9.627187E-3	25.000000E+0	25.000000	110.000000E-6	+1.05899053E-06
8.714847E-3	25.000000E+0	25.000000	120.000000E-6	+1.04578166E-06
8.082564E-3	25.000000E+0	25.000000	130.000000E-6	+1.05073335E-06
7.654655E-3	25.000000E+0	25.000000	140.000000E-6	+1.07165174E-06
7.052048E-3	25.000000E+0	25.000000	150.000000E-6	+1.05780720E-06
6.536135E-3	25.000000E+0	25.000000	160.000000E-6	+1.04578166E-06
6.310373E-3	25.000000E+0	25.000000	170.000000E-6	+1.07276335E-06
5.739721E-3	25.000000E+0	25.000000	180.000000E-6	+1.03314978E-06
5.320619E-3	25.000000E+0	25.000000	190.000000E-6	+1.01091768E-06
5.242045E-3	25.000000E+0	25.000000	200.000000E-6	+1.04840909E-06
4.845173E-3	25.000000E+0	25.000000	210.000000E-6	+1.01748625E-06
4.886105E-3	25.000000E+0	25.000000	220.000000E-6	+1.07494305E-06
4.673665E-3	25.000000E+0	25.000000	230.000000E-6	+1.07494305E-06
4.462087E-3	25.000000E+0	25.000000	240.000000E-6	+1.07090085E-06
4.164358E-3	25.000000E+0	25.000000	250.000000E-6	+1.04108961E-06
4.142947E-3	25.000000E+0	25.000000	260.000000E-6	+1.07716626E-06
3.978651E-3	25.000000E+0	25.000000	270.000000E-6	+1.07423567E-06
3.830060E-3	25.000000E+0	25.000000	280.000000E-6	+1.07241668E-06
3.813679E-3	25.000000E+0	25.000000	290.000000E-6	+1.10596696E-06
3.518131E-3	25.000000E+0	25.000000	300.000000E-6	+1.05543943E-06
3.294787E-3	25.000000E+0	25.000000	310.000000E-6	+1.02138387E-06
3.209414E-3	25.000000E+0	25.000000	320.000000E-6	+1.02701240E-06
3.280890E-3	25.000000E+0	25.000000	330.000000E-6	+1.08269377E-06
3.076502E-3	25.000000E+0	25.000000	340.000000E-6	+1.04601076E-06
2.989757E-3	25.000000E+0	25.000000	350.000000E-6	+1.04641498E-06
2.896884E-3	25.000000E+0	25.000000	360.000000E-6	+1.04287806E-06
2.917459E-3	25.000000E+0	25.000000	370.000000E-6	+1.07946001E-06
2.710376E-3	25.000000E+0	25.000000	380.000000E-6	+1.02994300E-06
2.774324E-3	25.000000E+0	25.000000	390.000000E-6	+1.08198639E-06
2.606690E-3	25.000000E+0	25.000000	400.000000E-6	+1.04267594E-06
2.607935E-3	25.000000E+0	25.000000	410.000000E-6	+1.06925344E-06
2.462192E-3	25.000000E+0	25.000000	420.000000E-6	+1.03412044E-06
2.521967E-3	25.000000E+0	25.000000	430.000000E-6	+1.08444590E-06
2.397586E-3	25.000000E+0	25.000000	440.000000E-6	+1.05493780E-06
2.410553E-3	25.000000E+0	25.000000	450.000000E-6	+1.08474907E-06
2.345408E-3	25.000000E+0	25.000000	460.000000E-6	+1.07888787E-06
2.229068E-3	25.000000E+0	25.000000	470.000000E-6	+1.04766183E-06
2.290210E-3	25.000000E+0	25.000000	480.000000E-6	+1.09930101E-06
2.148810E-3	25.000000E+0	25.000000	490.000000E-6	+1.05291669E-06
2.079963E-3	25.000000E+0	25.000000	500.000000E-6	+1.03998163E-06
2.111702E-3	25.000000E+0	25.000000	510.000000E-6	+1.07696782E-06
2.029665E-3	25.000000E+0	25.000000	520.000000E-6	+1.05542574E-06
2.069163E-3	25.000000E+0	25.000000	530.000000E-6	+1.09665624E-06
2.015312E-3	25.000000E+0	25.000000	540.000000E-6	+1.08826866E-06
1.988408E-3	25.000000E+0	25.000000	550.000000E-6	+1.09362459E-06
1.945322E-3	25.000000E+0	25.000000	560.000000E-6	+1.08938027E-06
1.921654E-3	25.000000E+0	25.000000	570.000000E-6	+1.09534252E-06
1.789383E-3	25.000000E+0	25.000000	580.000000E-6	+1.03784215E-06
1.841269E-3	25.000000E+0	25.000000	590.000000E-6	+1.08634862E-06
1.803339E-3	25.000000E+0	25.000000	600.000000E-6	+1.08200324E-06
1.767481E-3	25.000000E+0	25.000000	610.000000E-6	+1.07816315E-06
1.739809E-3	25.000000E+0	25.000000	620.000000E-6	+1.07868138E-06
1.586916E-3	25.000000E+0	25.000000	630.000000E-6	+9.99757312E-07
1.696650E-3	25.000000E+0	25.000000	640.000000E-6	+1.08585630E-06
1.674746E-3	25.000000E+0	25.000000	650.000000E-6	+1.08858479E-06
1.616605E-3	25.000000E+0	25.000000	660.000000E-6	+1.06695899E-06
1.592778E-3	25.000000E+0	25.000000	670.000000E-6	+1.06716110E-06
