Time(sec),TempRes(Ohm),SampVolt(V),heat_current(A),coil_current_order(A), sample_current_order(A)
210.33,45.29,2.9578e-05,0.157,0,0.2
210.39,45.29,2.8488e-05,0.157,0,0.30526
210.44,45.29,-0.0012824,0.157,0,0.41053
210.48,45.29,-0.0018164,0.157,0,0.51579
210.55,45.29,-0.0019817,0.157,0,0.62105
210.59,45.29,-0.00268,0.157,0,0.72632
210.66,45.29,-0.0029264,0.157,0,0.83158
210.7,45.29,-0.0033837,0.157,0,0.93684
210.77,45.29,-0.0040869,0.157,0,1.0421
211.03,45.29,-0.0062162,0.157,0,1.1474
211.08,45.29,-0.0069303,0.157,0,1.2526
211.14,45.29,-0.0072198,0.157,0,1.3579
211.19,45.29,-0.0076507,0.157,0,1.4632
211.25,45.29,-0.008369,0.157,0,1.5684
211.3,45.29,-0.009002,0.157,0,1.6737
211.36,45.29,-0.0091,0.157,0,1.7789
211.41,45.29,-0.0098259,0.157,0,1.8842
211.66,45.29,-0.012052,0.157,0,1.9895
211.7,45.29,-0.012797,0.157,0,2.0947
211.77,45.29,-0.013125,0.157,0,2.2
211.97,45.29,-0.015114,0.157,0,0.21
212.01,45.29,-0.015146,0.157,0,0.31526
212.08,45.29,-0.015178,0.157,0,0.42053
212.51,45.29,-0.0028461,0.157,0,0.52579
212.56,45.29,-0.0035703,0.157,0,0.63105
212.61,45.29,-0.0035701,0.157,0,0.73632
212.67,45.29,-0.0042947,0.157,0,0.84158
212.72,45.29,-0.0050146,0.157,0,0.94684
212.78,45.29,-0.005021,0.157,0,1.0521
212.83,45.29,-0.0057499,0.157,0,1.1574
212.89,45.29,-0.0062225,0.157,0,1.2626
212.94,45.29,-0.0064795,0.157,0,1.3679
212.98,45.29,-0.0072105,0.157,0,1.4732
213.23,45.29,-0.0094249,0.157,0,1.5784
213.3,45.29,-0.010167,0.157,0,1.6837
213.34,45.29,-0.010505,0.157,0,1.7889
213.41,45.29,-0.010921,0.157,0,1.8942
213.45,45.29,-0.011668,0.157,0,1.9995
213.51,45.29,-0.012033,0.157,0,2.1047
213.56,45.29,-0.012434,0.157,0,2.21
213.76,45.29,-0.014739,0.157,0,0.22
213.81,45.29,-0.015092,0.157,0,0.32526
213.88,45.29,-0.015541,0.157,0,0.43053
214.41,45.29,-0.0029788,0.157,0,0.53579
214.47,45.29,-0.0037142,0.157,0,0.64105
214.51,45.29,-0.003715,0.157,0,0.74632
214.58,45.29,-0.0044556,0.157,0,0.85158
214.63,45.29,-0.0051932,0.157,0,0.95684
214.67,45.29,-0.0051946,0.157,0,1.0621
214.73,45.29,-0.0059368,0.157,0,1.1674
214.78,45.29,-0.0064592,0.157,0,1.2726
214.84,45.29,-0.0066788,0.157,0,1.3779
214.89,45.29,-0.0074221,0.157,0,1.4832
215.14,45.29,-0.0096724,0.157,0,1.5884
215.2,45.29,-0.010426,0.157,0,1.6937
215.25,45.29,-0.010868,0.157,0,1.7989
215.3,45.29,-0.011188,0.157,0,1.9042
215.36,45.29,-0.011949,0.157,0,2.0095
215.41,45.29,-0.012449,0.157,0,2.1147
215.47,45.29,-0.012724,0.157,0,2.22
215.67,45.29,-0.015062,0.157,0,0.23
215.73,45.29,-0.015772,0.157,0,0.33526
215.78,45.29,-0.015872,0.157,0,0.44053
216.31,45.29,-0.0030986,0.157,0,0.54579
216.38,45.29,-0.0038474,0.157,0,0.65105
216.42,45.29,-0.0038467,0.157,0,0.75632
216.47,45.29,-0.0045973,0.157,0,0.86158
216.53,45.29,-0.0052926,0.157,0,0.96684
216.58,45.29,-0.005347,0.157,0,1.0721
216.64,45.29,-0.0060996,0.157,0,1.1774
216.69,45.29,-0.0064965,0.157,0,1.2826
216.75,45.29,-0.0068507,0.157,0,1.3879
216.8,45.29,-0.0076062,0.157,0,1.4932
217.05,45.29,-0.0098826,0.157,0,1.5984
217.09,45.29,-0.010644,0.157,0,1.7037
217.16,45.29,-0.0109,0.157,0,1.8089
217.2,45.29,-0.011413,0.157,0,1.9142
217.26,45.29,-0.012183,0.157,0,2.0195
217.31,45.29,-0.012815,0.157,0,2.1247
217.38,45.29,-0.012966,0.157,0,2.23
217.58,45.29,-0.015327,0.157,0,0.24
217.63,45.29,-0.016115,0.157,0,0.34526
217.69,45.29,-0.016143,0.157,0,0.45053
218.22,45.29,-0.0032083,0.157,0,0.55579
218.26,45.29,-0.0039648,0.157,0,0.66105
218.33,45.29,-0.0039634,0.157,0,0.76632
218.38,45.29,-0.0047235,0.157,0,0.87158
218.44,45.29,-0.0054814,0.157,0,0.97684
218.48,45.29,-0.0054807,0.157,0,1.0821
218.53,45.29,-0.0062414,0.157,0,1.1874
218.59,45.29,-0.0068699,0.157,0,1.2926
218.64,45.29,-0.0070006,0.157,0,1.3979
218.7,45.29,-0.007763,0.157,0,1.5032
218.95,45.29,-0.010063,0.157,0,1.6084
219,45.29,-0.010832,0.157,0,1.7137
219.06,45.29,-0.011288,0.157,0,1.8189
219.11,45.29,-0.011609,0.157,0,1.9242
