file_,i_coil,i_int,i_ext,i_int_sign,i_ext_sign,v_mean_on,v_std_on,v_mean_off,v_std_off,v_shift,v_shift_err
39,7.0,1.5,7.1319644444444447e-10,1.0,1.0,1.3432098765432092e-07,4.126204100086148e-07,8.3657575037461757e-23,3.5928464129504278e-07,1.3432098765432084e-07,5.4712069621445045e-07
40,7.0,1.5,0.9997611111111111,1.0,1.0,5.6524691358024934e-08,4.7123190146636912e-07,1.7777234695460623e-22,3.1490698350129916e-07,5.6524691358024755e-08,5.6676795359079481e-07
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,7.0,1.5,0.9996355555555555,1.0,-1.0,4.0431975308641998e-07,5.0596566379859131e-07,8.3657575037461757e-23,3.5991723294099339e-07,4.0431975308641987e-07,6.2092001699981496e-07
43,7.0,1.7,0.99959555555555546,1.0,-1.0,5.54503703703704e-07,3.3176378279133556e-07,2.3005833135301983e-22,3.8590689332467318e-07,5.5450370370370378e-07,5.0891191564701759e-07
44,7.0,1.7,0.99958111111111114,1.0,1.0,2.1295061728395072e-07,3.9161892608477829e-07,2.4051552823270255e-22,4.1226527744270541e-07,2.1295061728395048e-07,5.6861941775910708e-07
45,7.0,2.0,0.99957555555555566,1.0,1.0,1.7732962962962957e-07,3.6306010219413007e-07,0.0,3.6839687782129394e-07,1.7732962962962957e-07,5.1723195704991924e-07
46,7.0,2.0,0.99957777777777779,1.0,-1.0,3.2852839506172837e-07,3.0321447438907464e-07,4.1828787518730879e-23,3.2500732848126587e-07,3.2852839506172831e-07,4.4448709885166774e-07
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,7.0,1.5,3.9403333333333332,1.0,1.0,2.9025148148148151e-06,3.2522006009733166e-07,1.8300094539444759e-22,4.2555797904090251e-07,2.9025148148148151e-06,5.3560029967793079e-07
49,7.0,1.5,3.9542666666666668,1.0,-1.0,7.8751975308641986e-07,5.1685848149941553e-07,1.045719687968272e-23,4.2137808052741804e-07,7.8751975308641986e-07,6.6685993780317386e-07
50,7.0,1.5,3.9529666666666663,1.0,-1.0,9.8296419753086391e-07,3.7508327107566074e-07,-1.3594355943587536e-22,4.1270743899978503e-07,9.8296419753086412e-07,5.5768709008419671e-07
51,7.0,1.5,3.9479111111111109,1.0,1.0,4.8120024691358016e-06,5.0507453800173134e-07,-2.0914393759365439e-22,4.1161483517691981e-07,4.8120024691358016e-06,6.5155741226340536e-07
52,7.0,1.5,3.9536333333333338,-1.0,1.0,3.6314432098765432e-06,5.2822003885670525e-07,-3.1371590639048159e-23,4.4133212925500588e-07,3.6314432098765432e-06,6.8832438411154405e-07
53,7.0,1.5,3.941588888888889,-1.0,-1.0,-1.0363765432098766e-06,6.8824686040887496e-07,-8.3657575037461757e-23,5.2798550059070668e-07,-1.0363765432098766e-06,8.6744015914453276e-07
54,7.0,1.75,3.9441555555555556,-1.0,-1.0,-1.5223160493827161e-06,4.42219633130677e-07,4.9148825334508787e-22,5.5784188864746149e-07,-1.5223160493827165e-06,7.1186078460328001e-07
55,7.0,1.75,3.9397111111111109,-1.0,1.0,3.2817382716049381e-06,4.0820622313557968e-07,-4.3920226894667423e-22,6.9826299974834554e-07,3.2817382716049385e-06,8.0882849691648025e-07
56,7.0,1.75,3.9708111111111108,1.0,1.0,4.9798044444444447e-06,6.1155789833364591e-07,-1.2548636255619264e-22,9.7636575091563027e-07,4.9798044444444447e-06,1.1520820902068171e-06
57,7.0,1.75,3.9617666666666671,1.0,-1.0,1.7824613580246911e-06,4.4773010633406028e-07,1.2810066177611333e-22,6.2622706962085723e-07,1.7824613580246909e-06,7.6981984310865538e-07
58,7.0,1.75,2.9947111111111107,1.0,-1.0,1.8516074074074077e-06,4.6316308880487845e-07,1.3594355943587536e-22,5.6071553561434941e-07,1.8516074074074075e-06,7.2727021024551975e-07
59,7.0,1.75,2.9946666666666664,1.0,1.0,1.4383222222222225e-06,3.8374602494333155e-07,9.4114771917144477e-23,4.9735815740294611e-07,1.4383222222222225e-06,6.2819276372389212e-07
60,7.0,1.75,2.9946888888888887,-1.0,1.0,-3.2795925925925899e-07,1.992161693736674e-07,3.1371590639048159e-23,5.1661098770741174e-07,-3.2795925925925904e-07,5.5369124497317573e-07
61,7.0,1.75,2.9946444444444444,-1.0,-1.0,-1.1549222222222217e-06,3.5081042426400456e-07,5.5423143462318419e-22,5.6971650936454719e-07,-1.1549222222222224e-06,6.6906266882468872e-07
62,7.0,2.0,3.9454222222222222,-1.0,-1.0,-2.3670123456790118e-06,3.7735074064620526e-07,5.4377423774350142e-22,7.4663808550530244e-07,-2.3670123456790123e-06,8.3657755898258646e-07
63,7.0,2.0,3.9269222222222222,-1.0,1.0,3.6201604938271601e-06,5.6441529066128819e-07,3.9737348142794335e-22,9.1262194968413258e-07,3.6201604938271597e-06,1.0730533273689309e-06
64,7.0,2.0,3.9320777777777778,1.0,1.0,5.9970931728395062e-06,2.1371860176643879e-07,1.6339370124504249e-23,7.1365337413825706e-07,5.9970931728395062e-06,7.4496763631712266e-07
65,7.0,2.0,3.9332444444444445,1.0,-1.0,2.574783345679012e-06,3.5773939896498066e-07,8.3657575037461757e-23,6.5887333535365881e-07,2.574783345679012e-06,7.4972765029167794e-07
